Sr No,Question,G1,G2,Flags
35,"My cousins keep making jokes about my marks and posting them in the family group during family visits, and I feel embarrassed. Who can I talk to about this? I am asking because it keeps bothering me.",TECHNOLOGY,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
36,"My sibling accidentally bumped into me while running at home, and it hurt but seemed accidental. Is that bullying? I want to know if I should tell someone.",GENERIC,['PERSONAL_DIRECTION'],"{'has_emotional_distress': True, 'has_personal_direction': True, 'indirect_intent': True}"
37,"My guardian calls my mistakes funny in front of guests at home, and I feel embarrassed but unsure what it means. Should I ask for help or wait and see? I need a calm way to think about it.",GENERIC,['AMBIGUOUS_RISK'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'has_ambiguous_risk': True, 'needs_clarification': True, 'direct_intent': True}"
38,"My cousins keep making jokes about my marks and posting them in the family group during family visits, and I feel embarrassed. Does this count as repeated targeting? I am 12 and I do not want more trouble.",TECHNOLOGY,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'indirect_intent': True}"
39,"My cousin staying with us keeps making everyone laugh at my weight during breakfast, and I want it to stop. Is this normal family teasing or bullying? I am asking because it keeps bothering me.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'indirect_intent': True}"
40,"Older relatives keep laughing at my stammer and telling me to speak for entertainment at a family function, and I want help. Is this normal family teasing or bullying? I want to know if I should tell someone.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'indirect_intent': True}"
41,"My cousin staying with us keeps making everyone laugh at my weight during breakfast, and I want it to stop. What is a safe way to ask for help? I am 10 and I want a safe answer.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
42,"My sibling says my answers are silly during homework time, and but only when we study together. Is it okay to feel hurt by this? I am 14 and it is affecting my day.",GENERIC,['AMBIGUOUS_RISK'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_ambiguous_risk': True, 'needs_clarification': True, 'indirect_intent': True}"
43,"My cousins keep excluding me from games and saying I ruin everything during festival visits, and it happens every time. Who can I talk to about this? I need a calm way to think about it.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
44,"My cousins keep excluding me from games and saying I ruin everything during festival visits, and it happens every time. Should I report this to someone at school? I need a calm way to think about it.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
45,"My cousins keep sharing edited photos of me to make fun of my face in the family chat, and I want to know what to do. Is this normal family teasing or bullying? I am 11 and this happens around family.",TECHNOLOGY,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'indirect_intent': True}"
46,"Students keep posting jokes about my mistakes in online class chat, and I feel humiliated. Should I report this to someone at school? I am 14 and it is affecting my day.",TECHNOLOGY,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
47,"My cousin said they were busy and could not help me during homework, and I felt disappointed. What is the best next step? I want to handle it without being mean back.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'has_personal_direction': True, 'direct_intent': True}"
48,"My sister keeps hiding my homework and calling me useless at home, and I feel scared to complain. How can I respond safely? I want to know if I should tell someone.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
49,"Two students keep taking my work and calling it theirs while laughing at me during assignments, and I need advice. How can I respond safely? I want to know if I should tell someone.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
50,"My cousins keep making jokes about my marks and posting them in the family group during family visits, and I feel embarrassed. Who can I talk to about this? I want to handle it without being mean back.",TECHNOLOGY,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
51,"My sibling keeps calling me names and making me do their work during chores, and it happens almost every day. Is this bullying? I am asking because it keeps bothering me.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'indirect_intent': True}"
52,"My cousins use laughing emojis whenever I send a photo in a family group chat, and they say it is harmless. Is this just teasing or something more? I want to handle it without being mean back.",TECHNOLOGY,['AMBIGUOUS_RISK'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'has_ambiguous_risk': True, 'needs_clarification': True, 'direct_intent': True}"
53,"My sibling keeps calling me names and making me do their work during chores, and it happens almost every day. Is this normal family teasing or bullying? I want to handle it without being mean back.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
54,"Classmates keep telling others not to study with me because I am weird during exam revision, and I feel left out. What is a safe way to ask for help? I need a calm way to think about it.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
55,"My brother keeps threatening to tell everyone my marks and laughing at me before exams, and I do not know what to do. Should I report this to someone at school? I am 11 and this happens around family.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
56,"Older relatives keep laughing at my stammer and telling me to speak for entertainment at a family function, and I want help. What is a safe way to ask for help? I need a calm way to think about it.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
57,"My cousins use laughing emojis whenever I send a photo in a family group chat, and they say it is harmless. Should I ask for help or wait and see? I want to know if I should tell someone.",TECHNOLOGY,['AMBIGUOUS_RISK'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'has_ambiguous_risk': True, 'needs_clarification': True, 'direct_intent': True}"
58,"My sister keeps saying I am too sensitive when I ask her to stop teasing at home, and I am not sure if it is serious. What should I notice before deciding? I am 13 and I feel nervous saying anything.",GENERIC,['AMBIGUOUS_RISK'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'has_ambiguous_risk': True, 'needs_clarification': True, 'direct_intent': True}"
59,"My cousins keep excluding me from games and saying I ruin everything during festival visits, and it happens every time. Who can I talk to about this? I feel confused about what counts.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
60,"My cousin did not sit next to me because the chair was taken during a family dinner, and I felt ignored. Does that count as bullying or just a disagreement? I am 13 and I feel nervous saying anything.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'indirect_intent': True}"
61,"Older relatives keep laughing at my stammer and telling me to speak for entertainment at a family function, and I want help. What is a safe way to ask for help? I am 13 and I feel nervous saying anything.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
62,"My cousins keep sharing edited photos of me to make fun of my face in the family chat, and I want to know what to do. Is this normal family teasing or bullying? I want to handle it without being mean back.",TECHNOLOGY,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
63,"My cousins keep excluding me from games and saying I ruin everything during festival visits, and it happens every time. Should I report this to someone at school? I am 10 and I want a safe answer.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
64,"My brother keeps threatening to tell everyone my marks and laughing at me before exams, and I do not know what to do. What should I do? I am asking because it keeps bothering me.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
65,"My cousin staying with us keeps making everyone laugh at my weight during breakfast, and I want it to stop. How do I make it stop without making things worse? I need a calm way to think about it.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
66,"My cousin did not sit next to me because the chair was taken during a family dinner, and I felt ignored. Is it okay to feel upset about this? I feel confused about what counts.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'has_personal_direction': True, 'direct_intent': True}"
67,"My cousins call me a nickname I hate during family gatherings, and they say it is just tradition. Is this bullying or am I misunderstanding? I am 13 and I feel nervous saying anything.",GENERIC,['AMBIGUOUS_RISK'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_ambiguous_risk': True, 'needs_clarification': True, 'indirect_intent': True}"
68,"My brother keeps threatening to tell everyone my marks and laughing at me before exams, and I do not know what to do. Does this count as repeated targeting? I need a calm way to think about it.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
69,"An aunt asked why my marks were lower this term at a gathering, and I felt embarrassed. What is the best next step? I feel confused about what counts.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'has_personal_direction': True, 'direct_intent': True}"
70,"Students keep posting jokes about my mistakes in online class chat, and I feel humiliated. What should I do? I am 11 and this happens around family.",TECHNOLOGY,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
71,"My brother argued with me once about the TV remote at home, and we both got upset. Is this a normal conflict? I am 11 and this happens around family.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'indirect_intent': True}"
72,"Relatives keep comparing me with my cousin at a family lunch, and I cannot tell if it is bullying. Should I talk to a trusted adult? I want to know if I should tell someone.",GENERIC,['AMBIGUOUS_RISK'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'has_ambiguous_risk': True, 'needs_clarification': True, 'direct_intent': True}"
73,"Two students laugh when I read aloud in class, and I do not know if they are laughing at me. How do I ask them to stop kindly? I am asking because it keeps bothering me.",GENERIC,['AMBIGUOUS_RISK'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'has_ambiguous_risk': True, 'needs_clarification': True, 'direct_intent': True}"
74,"I feel lonely when everyone is busy at home, and but nobody is teasing me. Should I ask them calmly? I am asking because it keeps bothering me.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'has_personal_direction': True, 'direct_intent': True}"
75,"Older relatives keep laughing at my stammer and telling me to speak for entertainment at a family function, and I want help. How do I make it stop without making things worse? I am 13 and I feel nervous saying anything.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
76,"My cousins call me a nickname I hate during family gatherings, and they say it is just tradition. Could this become bullying if it continues? I am 12 and I do not want more trouble.",GENERIC,['AMBIGUOUS_RISK'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_ambiguous_risk': True, 'needs_clarification': True, 'indirect_intent': True}"
77,"My teacher corrected my answer in front of everyone during class, and I felt nervous. How do I talk about it politely? I am 10 and I want a safe answer.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'has_personal_direction': True, 'direct_intent': True}"
78,"My cousins call me a nickname I hate during family gatherings, and they say it is just tradition. Is it okay to feel hurt by this? I am 13 and I feel nervous saying anything.",GENERIC,['AMBIGUOUS_RISK'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_ambiguous_risk': True, 'needs_clarification': True, 'indirect_intent': True}"
79,"A classmate disagreed with my idea one time during group work, and I felt rejected. Is this a normal conflict? I am 13 and I feel nervous saying anything.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'indirect_intent': True}"
80,"My cousins keep making jokes about my marks and posting them in the family group during family visits, and I feel embarrassed. Should I report this to someone at school? I want to know if I should tell someone.",TECHNOLOGY,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
81,"I feel lonely when everyone is busy at home, and but nobody is teasing me. How can I handle my feelings? I am 11 and this happens around family.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'has_personal_direction': True, 'direct_intent': True}"
82,"My sibling says my answers are silly during homework time, and but only when we study together. Should I ask for help or wait and see? I am 14 and it is affecting my day.",GENERIC,['AMBIGUOUS_RISK'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'has_ambiguous_risk': True, 'needs_clarification': True, 'direct_intent': True}"
83,"My brother argued with me once about the TV remote at home, and we both got upset. Should I ask them calmly? I want to know if I should tell someone.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'has_personal_direction': True, 'direct_intent': True}"
84,"Two students keep taking my work and calling it theirs while laughing at me during assignments, and I need advice. Who can I talk to about this? I want to know if I should tell someone.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
85,"My cousin said they were busy and could not help me during homework, and I felt disappointed. Does that count as bullying or just a disagreement? I need a calm way to think about it.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'has_personal_direction': True, 'direct_intent': True}"
86,"Two students keep taking my work and calling it theirs while laughing at me during assignments, and I need advice. Does this count as repeated targeting? I am 12 and I do not want more trouble.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'indirect_intent': True}"
87,"I feel lonely when everyone is busy at home, and but nobody is teasing me. Should I ask them calmly? I am 10 and I want a safe answer.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'has_personal_direction': True, 'direct_intent': True}"
88,"My cousins keep sharing edited photos of me to make fun of my face in the family chat, and I want to know what to do. Should I tell a trusted adult? I am 11 and this happens around family.",TECHNOLOGY,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
89,"Students keep posting jokes about my mistakes in online class chat, and I feel humiliated. How can I respond safely? I feel confused about what counts.",TECHNOLOGY,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
90,"My cousin did not sit next to me because the chair was taken during a family dinner, and I felt ignored. Should I ask them calmly? I am 13 and I feel nervous saying anything.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'has_personal_direction': True, 'direct_intent': True}"
91,"My sister keeps hiding my homework and calling me useless at home, and I feel scared to complain. Does this count as repeated targeting? I am 12 and I do not want more trouble.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'indirect_intent': True}"
92,"My sibling keeps calling me names and making me do their work during chores, and it happens almost every day. Is this bullying? I am 13 and I feel nervous saying anything.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'indirect_intent': True}"
93,"My brother keeps threatening to tell everyone my marks and laughing at me before exams, and I do not know what to do. Who can I talk to about this? I need a calm way to think about it.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
94,"My brother keeps threatening to tell everyone my marks and laughing at me before exams, and I do not know what to do. What should I do? I am 14 and it is affecting my day.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
95,"A group of classmates keeps whispering insults whenever I answer questions in class, and I feel afraid to speak. What is a safe way to ask for help? I want to know if I should tell someone.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
96,"My sister keeps hiding my homework and calling me useless at home, and I feel scared to complain. Should I report this to someone at school? I am 12 and I do not want more trouble.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
97,"Two students laugh when I read aloud in class, and I do not know if they are laughing at me. Could this become bullying if it continues? I am asking because it keeps bothering me.",GENERIC,['AMBIGUOUS_RISK'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_ambiguous_risk': True, 'needs_clarification': True, 'indirect_intent': True}"
98,"My teacher corrected my answer in front of everyone during class, and I felt nervous. Does that count as bullying or just a disagreement? I am 10 and I want a safe answer.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'has_personal_direction': True, 'direct_intent': True}"
99,"My cousin said they were busy and could not help me during homework, and I felt disappointed. Should I ask them calmly? I want to handle it without being mean back.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'has_personal_direction': True, 'direct_intent': True}"
100,"Two students keep taking my work and calling it theirs while laughing at me during assignments, and I need advice. What should I do? I am 13 and I feel nervous saying anything.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
101,"Two students keep taking my work and calling it theirs while laughing at me during assignments, and I need advice. Does this count as repeated targeting? I am 10 and I want a safe answer.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
102,"Two students keep taking my work and calling it theirs while laughing at me during assignments, and I need advice. How can I respond safely? I am 12 and I do not want more trouble.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
103,"I want to know whether schools have rules about bullying at school, and for understanding policies. What is the best next step? I am 11 and this happens around family.",CIVIC_LAW,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'indirect_intent': True}"
104,"Classmates avoid sitting near me because they say I ask too many questions during exams, and I feel singled out. How do I ask them to stop kindly? I want to handle it without being mean back.",GENERIC,['AMBIGUOUS_RISK'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'has_ambiguous_risk': True, 'needs_clarification': True, 'direct_intent': True}"
105,"My older brother keeps copying the way I talk and laughing at me every day at home, and it makes me feel small. How do I make it stop without making things worse? I am 13 and I feel nervous saying anything.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
106,"My cousins keep sharing edited photos of me to make fun of my face in the family chat, and I want to know what to do. How do I make it stop without making things worse? I am 11 and this happens around family.",TECHNOLOGY,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
107,"My cousins keep making jokes about my marks and posting them in the family group during family visits, and I feel embarrassed. Should I report this to someone at school? I feel confused about what counts.",TECHNOLOGY,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
108,"Older relatives keep laughing at my stammer and telling me to speak for entertainment at a family function, and I want help. How do I make it stop without making things worse? I am 12 and I do not want more trouble.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
109,"My parent told me to finish homework before playing before school, and I felt annoyed. Does that count as bullying or just a disagreement? I want to know if I should tell someone.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'indirect_intent': True}"
