topic,QUESTION,G1,G2,flags
Peer bullying,Students keep calling me ugly even after I asked them to stop. after class?,GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}"
School teasing,"People at lunch make plans without me, and now I feel scared to go there. during tuition?",GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}"
Social exclusion,A classmate threatens to ruin my project if I tell a teacher. on a game app?,TECHNOLOGY,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}"
Online bullying,My friends say I can stay in the group only if I do things that scare me. at home?,GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}"
Peer bullying,Kids at school keep imitating me every day; what can I do on the bus?,GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}"
School teasing,My classmates copy my voice on purpose and laugh when I get upset. during recess?,TECHNOLOGY,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}"
Social exclusion,Someone in my class keeps taking my lunch; is this bullying in the neighborhood?,GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}"
Online bullying,A group chat was made to make fun of my photos; how should I handle it on a video call?,GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}"
Peer bullying,Students keep calling me ugly even after I asked them to stop. in a club?,TECHNOLOGY,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}"
School teasing,"People at lunch make plans without me, and now I feel scared to go there. after practice?",GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}"
Social exclusion,A classmate threatens to ruin my project if I tell a teacher. with friends?,GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}"
Online bullying,My friends say I can stay in the group only if I do things that scare me. online?,TECHNOLOGY,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}"
Peer bullying,Kids at school keep imitating me every day; what can I do in class?,GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}"
School teasing,My classmates copy my voice on purpose and laugh when I get upset. during a school trip?,GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}"
Social exclusion,Someone in my class keeps taking my lunch; is this bullying at lunch?,TECHNOLOGY,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}"
Online bullying,A group chat was made to make fun of my photos; how should I handle it near my house?,GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}"
Peer bullying,Students keep calling me ugly even after I asked them to stop. at school?,GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}"
School teasing,"People at lunch make plans without me, and now I feel scared to go there. in a group chat?",TECHNOLOGY,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}"
Social exclusion,A classmate threatens to ruin my project if I tell a teacher. after class?,GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}"
Online bullying,My friends say I can stay in the group only if I do things that scare me. during tuition?,GENERIC,BULLYING,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": true, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}"
