question,g1,g2,
Kids in my bus call me names and laugh when I get upset.,GENERIC,BULLYING,
My friend group keeps making plans and purposely not telling me.,GENERIC,BULLYING,
Someone made a fake account to tease me online.,GENERIC,BULLYING,
They keep saying nobody likes me and I should go away.,GENERIC,BULLYING,
The older kids keep scaring me and laughing when I cry.,GENERIC,BULLYING,
My classmates keep making fun of the way I answer questions.,GENERIC,BULLYING,
My friends left me out again and I cried when I got home.,GENERIC,BULLYING;EMOTIONAL,
People keep making fun of me in class and now I feel scared to go to school.,GENERIC,BULLYING;EMOTIONAL,
They tease me every day and I feel like nobody likes me.,GENERIC,BULLYING;EMOTIONAL,
My group chat laughed at me all night and now I feel really sad.,GENERIC,BULLYING;EMOTIONAL,
Someone keeps embarrassing me in front of others and I feel awful.,GENERIC,BULLYING;EMOTIONAL,
I feel lonely and sad lately even when nobody is mean to me.,GENERIC,EMOTIONAL,
I miss my grandma and keep crying at night.,DEATH_GRIEF,EMOTIONAL,
I am scared before exams and my stomach hurts.,GENERIC,EMOTIONAL,
Nobody at home listens to me and I feel upset.,GENERIC,EMOTIONAL,
I feel nervous because I have to speak in front of class tomorrow.,GENERIC,EMOTIONAL,
My best friend moved away and I feel lonely.,GENERIC,EMOTIONAL,
I feel like I am bad at everything and it makes me sad.,GENERIC,EMOTIONAL,
Sometimes I cry because I miss my old school.,GENERIC,EMOTIONAL,
I feel worried when my parents argue.,GENERIC,EMOTIONAL,
I had a bad dream and I still feel afraid.,GENERIC,EMOTIONAL,
What is bullying?,FACT,NEUTRAL_FACT,
Why do some kids tease other kids?,FACT,NEUTRAL_FACT,
How can schools stop bullying?,FACT,NEUTRAL_FACT,
What does empathy mean?,FACT,NEUTRAL_FACT,
Why do people feel left out sometimes?,FACT,NEUTRAL_FACT,
How do teachers help when someone is being mean?,FACT,NEUTRAL_FACT,
What should a bystander do if they see bullying?,FACT,NEUTRAL_FACT,
What is the difference between teasing and bullying?,FACT,NEUTRAL_FACT,
Why is kindness important in friendships?,FACT,NEUTRAL_FACT,
How can I be a better friend to someone who is sad?,FACT,NEUTRAL_FACT,
My friend says I cannot talk to anyone else at lunch.,GENERIC,COERCIVE_CONTROL,
Someone says they will share my private messages if I stop replying.,GENERIC,VULN_EXPLOIT,
They keep telling me only they understand me and I should listen only to them.,GENERIC,VULN_EXPLOIT,
My friend gets angry if I do not reply right away and says I do not care.,GENERIC,COERCIVE_CONTROL,
Someone keeps using my secret to pressure me into doing what they want.,GENERIC,VULN_EXPLOIT,
They joke about me all the time but say it is only for fun.,GENERIC,AMBIGUOUS_RISK;BULLYING,
My friends tease me every day and I cannot tell if they mean it.,GENERIC,AMBIGUOUS_RISK;BULLYING,
"A classmate posted a joke about me and I felt bad, but others said I was overreacting.",GENERIC,AMBIGUOUS_RISK,
They leave me out sometimes and then act normal the next day.,GENERIC,BULLYING,
My friend laughs at me in front of others and says I should not be so sensitive.,GENERIC,BULLYING,
"My friends left me out again, and I cried after reaching home.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'direct_intent': True}"
"My friends did not include me again, and I felt really upset when I got home.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'direct_intent': True}"
"My friends ignored me again, and I started crying once I was alone at home.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'direct_intent': True}"
"My friends left without me again, and I felt so hurt after school.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'direct_intent': True}"
"My friends did things without me again, and I could not stop crying at home.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'direct_intent': True}"
"My friends left me out of their plan again, and I felt lonely when I got home.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'direct_intent': True}"
"My friends did not ask me to join again, and I felt really sad later.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'direct_intent': True}"
"My friends left me sitting by myself again, and I cried after coming home.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'direct_intent': True}"
"My friends forgot about me again, and I felt hurt for the rest of the day.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'direct_intent': True}"
"My friends made plans without me again, and I felt like crying at home.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'direct_intent': True}"
"My friends did not wait for me again, and I felt very upset afterward.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'direct_intent': True}"
"My friends left me alone again, and I cried because I felt unwanted.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'direct_intent': True}"
"My friends did not include me in their group again, and I felt embarrassed and sad.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'direct_intent': True}"
"My friends acted like I was not there again, and I cried when I reached home.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'direct_intent': True}"
"My friends left me out during lunch again, and I felt really lonely afterward.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'direct_intent': True}"
"My friends went ahead without me again, and I felt sad the whole evening.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'direct_intent': True}"
"My friends did not choose me again, and I cried because it hurt so much.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'direct_intent': True}"
"My friends left me out of the fun again, and I felt very alone after coming home.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'direct_intent': True}"
"My friends spent time together without me again, and I felt sad and rejected.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'direct_intent': True}"
"My friends did not include me again, and I cried because I felt left behind.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'direct_intent': True}"
What does it mean when classmates do not invite someone to a game?,FACT,['NEUTRAL_FACT'],{}
Why do some children prefer sitting alone during lunch?,FACT,['NEUTRAL_FACT'],{}
What is the meaning of peer pressure?,FACT,['NEUTRAL_FACT'],{}
Can friendship groups change over time?,FACT,['NEUTRAL_FACT'],{}
What does the word exclusion mean in school?,FACT,['NEUTRAL_FACT'],{}
What is the difference between teasing and bullying?,FACT,['NEUTRAL_FACT'],{}
Why do people sometimes stop talking to old friends?,FACT,['NEUTRAL_FACT'],{}
What is a safe way to make new friends at school?,FACT,['NEUTRAL_FACT'],{}
How do group projects usually work in class?,FACT,['NEUTRAL_FACT'],{}
What does it mean to respect someone's personal space?,FACT,['NEUTRAL_FACT'],{}
What should I say if I want to join a new lunch group?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
How can I politely ask my classmates if I can play with them?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
What should I do if I want to make friends in a new class?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
How do I ask my teacher to change my project group?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
What should I do if I forgot to bring my homework?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
How can I tell my friend I want some quiet time?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
What should I do if two friends both want me on their team?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
How do I tell someone I cannot come to their birthday party?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
What should I do if my seat partner keeps borrowing my pencil?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
How can I ask my parents for more time to finish schoolwork?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
Kids in my class keep hiding my bag and laughing every day.,GENERIC,['BULLYING'],"{'has_bullying_involved': True, 'direct_intent': True}"
My classmates keep calling me names whenever I answer a question.,GENERIC,['BULLYING'],"{'has_bullying_involved': True, 'direct_intent': True}"
A group at school spreads rumors about me again and again.,GENERIC,['BULLYING'],"{'has_bullying_involved': True, 'direct_intent': True}"
Some kids keep blocking me from sitting anywhere at lunch.,GENERIC,['BULLYING'],"{'has_bullying_involved': True, 'direct_intent': True}"
My classmates keep mocking my accent in front of everyone.,GENERIC,['BULLYING'],"{'has_bullying_involved': True, 'direct_intent': True}"
Kids in my bus keep taking my cap and passing it around.,GENERIC,['BULLYING'],"{'has_bullying_involved': True, 'direct_intent': True}"
My friends made a group chat just to make jokes about me.,TECHNOLOGY,['BULLYING'],"{'has_bullying_involved': True, 'direct_intent': True}"
Someone keeps posting edited pictures of me to make others laugh.,TECHNOLOGY,['BULLYING'],"{'has_bullying_involved': True, 'direct_intent': True}"
My teammates keep blaming me for every lost game even when it is not my fault.,GENERIC,['BULLYING'],"{'has_bullying_involved': True, 'direct_intent': True}"
Children in my class keep making animal sounds when I walk past.,GENERIC,['BULLYING'],"{'has_bullying_involved': True, 'direct_intent': True}"
My friends dare me to jump from the school wall after class.,GENERIC,['DANGEROUS'],"{'has_dangerous_context': True, 'direct_intent': True}"
Someone told me to mix random cleaning liquids for a science trick.,SCIENCE,['DANGEROUS'],"{'has_dangerous_context': True, 'direct_intent': True}"
My classmates want me to touch a live wire as a challenge.,GENERIC,['DANGEROUS'],"{'has_dangerous_context': True, 'direct_intent': True}"
A kid online told me to try a choking challenge for fun.,TECHNOLOGY,['DANGEROUS'],"{'has_dangerous_context': True, 'direct_intent': True}"
My friends are planning to climb onto a moving train for a video.,GENERIC,['DANGEROUS'],"{'has_dangerous_context': True, 'indirect_intent': True}"
There are broken glass pieces near the playground slide.,GENERIC,['SAFETY_HAZARD'],"{'has_safety_hazard': True, 'direct_intent': True}"
The school stairs are wet and many children are running there.,GENERIC,['SAFETY_HAZARD'],"{'has_safety_hazard': True, 'direct_intent': True}"
A loose electric socket is hanging near our classroom door.,GENERIC,['SAFETY_HAZARD'],"{'has_safety_hazard': True, 'direct_intent': True}"
Smoke is coming from the lab dustbin after someone threw chemicals in it.,SCIENCE,['SAFETY_HAZARD'],"{'has_safety_hazard': True, 'has_dangerous_context': True, 'direct_intent': True}"
The streetlight is broken near the bus stop where children wait.,GENERIC,['SAFETY_HAZARD'],"{'has_safety_hazard': True, 'direct_intent': True}"
A boy said he will punch me after school if I tell the teacher.,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
Someone in my class threatened to beat my friend during recess.,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
A kid on the bus keeps pushing smaller children into the seats.,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
My neighbor's child said he will bring a stick to hit another kid.,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
Two students are planning to fight behind the school building.,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
An older player in a game keeps asking me to keep our chats secret.,TECHNOLOGY,['GROOMING'],"{'has_grooming_involved': True, 'direct_intent': True}"
Someone online keeps giving me game coins and says not to tell my parents.,TECHNOLOGY,['GROOMING'],"{'has_grooming_involved': True, 'direct_intent': True}"
An adult in a chat app says I am special and wants private conversations only.,TECHNOLOGY,['GROOMING'],"{'has_grooming_involved': True, 'direct_intent': True}"
A stranger online wants me to move from the game chat to a private app.,TECHNOLOGY,['GROOMING'],"{'has_grooming_involved': True, 'direct_intent': True}"
Someone I met online keeps asking personal questions and says our friendship is a secret.,TECHNOLOGY,['GROOMING'],"{'has_grooming_involved': True, 'direct_intent': True}"
