topic,QUESTION,G1,G2,flags,negative_for_g2,hard_negative_for_g2,style,source,split
Neutral safety question: bullying,"like, what does bullying mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: bullying,"bro, what does bullying mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: bullying,"bestie, what does bullying mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: grooming,"ngl, what does grooming mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: grooming,Can you explain why grooming can be risky for kids without making it scary?,FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: grooming,Why do adults keep warning us about grooming online?,FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: grooming,What should kids know about grooming in a safe way?,FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: grooming,Is there a kid-friendly explanation of grooming?,FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,dev
Neutral safety question: grooming,"lowkey, what does grooming mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,test
Neutral safety question: grooming,"tbh, what does grooming mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: grooming,"fr, what does grooming mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: grooming,"idk, what does grooming mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: grooming,"kinda, what does grooming mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: grooming,"honestly, what does grooming mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: grooming,"like, what does grooming mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: grooming,"bro, what does grooming mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: grooming,"bestie, what does grooming mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: blackmail,"ngl, what does blackmail mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,dev
Neutral safety question: blackmail,Can you explain why blackmail can be risky for kids without making it scary?,FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,test
Neutral safety question: blackmail,Why do adults keep warning us about blackmail online?,FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: blackmail,What should kids know about blackmail in a safe way?,FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: blackmail,Is there a kid-friendly explanation of blackmail?,FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: blackmail,"lowkey, what does blackmail mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: blackmail,"tbh, what does blackmail mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: blackmail,"fr, what does blackmail mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: blackmail,"idk, what does blackmail mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: blackmail,"kinda, what does blackmail mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: blackmail,"honestly, what does blackmail mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,dev
Neutral safety question: blackmail,"like, what does blackmail mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,test
Neutral safety question: blackmail,"bro, what does blackmail mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: blackmail,"bestie, what does blackmail mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: hate speech,"ngl, what does hate speech mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: hate speech,Can you explain why hate speech can be risky for kids without making it scary?,FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
