term,example
sigma,I saw sigma in the comments again.
alpha,Someone posted alpha just to get a reaction.
beta,"Move, beta."
aura points,He dropped aura points into the conversation for no reason.
6-7,The whole table cracked up after somebody said 6-7.
six seven,Her caption ended with six seven.
chat,He sent chat and then went offline.
pookie,They kept saying pookie in the chat.
bestie,I saw bestie in the comments again.
bro,Someone posted bro just to get a reaction.
bruh,That thread turned into bruh real fast.
girlie,He dropped girlie into the conversation for no reason.
squad,The whole table cracked up after somebody said squad.
gang,Her caption ended with gang.
fam,He sent fam and then went offline.
opp,You're such opp.
beef,I saw beef in the comments again.
drama,Someone posted drama just to get a reaction.
shade,"Move, shade."
roast,"Quit it, roast."
clap back,The whole table cracked up after somebody said clap back.
salty,He's being a salty again.
pressed,They called him pressed after the game.
ghosted,They kept saying ghosted in the chat.
left on read,I saw left on read in the comments again.
dry texting,Someone posted dry texting just to get a reaction.
soft launch,That thread turned into soft launch real fast.
ship,He dropped ship into the conversation for no reason.
crush,The whole table cracked up after somebody said crush.
situationship,Her caption ended with situationship.
red flag,He sent red flag and then went offline.
green flag,They kept saying green flag in the chat.
toxic,Don't act like toxic.
gaslight,Someone posted gaslight just to get a reaction.
gatekeep,That thread turned into gatekeep real fast.
cancel,He dropped cancel into the conversation for no reason.
expose,The whole table cracked up after somebody said expose.
receipts,Her caption ended with receipts.
screenshot it,He sent screenshot it and then went offline.
dox,They kept saying dox in the chat.
doxx,I saw doxx in the comments again.
alt account,Someone posted alt account just to get a reaction.
burner,That thread turned into burner real fast.
dm,He dropped dm into the conversation for no reason.
slide into dms,The whole table cracked up after somebody said slide into dms.
asl,Her caption ended with asl.
don't tell,He sent don't tell and then went offline.
private snap,They kept saying private snap in the chat.
link up,I saw link up in the comments again.
sneaky link,The DM turned weird when he wrote sneaky link.
plug,That thread turned into plug real fast.
zaza,He dropped zaza into the conversation for no reason.
cart,The whole table cracked up after somebody said cart.
vape,Her caption ended with vape.
faded,He sent faded and then went offline.
kms,They kept saying kms in the chat.
kys,I saw kys in the comments again.
i'm done,Someone posted i'm done just to get a reaction.
can't anymore,That thread turned into can't anymore real fast.
ugly,"Quit it, ugly."
chopped,"Wow, what a chopped."
choppleganger,He's being a choppleganger again.
gyatt,He thought typing gyatt was funny.
gyat,That comment said gyat and got deleted fast.
thirst trap,Someone dropped thirst trap in the group chat.
body count,The DM turned weird when he wrote body count.
smash,They kept joking about smash at lunch.
send pics,Her phone screen flashed a message with send pics.
rate me,The whole table cracked up after somebody said rate me.
pick me,He's being a pick me again.
karen,They called him karen after the game.
simp,You're such simp.
stan,I saw stan in the comments again.
bffr,Someone posted bffr just to get a reaction.
iykyk,That thread turned into iykyk real fast.
tbh,He dropped tbh into the conversation for no reason.
ngl,The whole table cracked up after somebody said ngl.
afaik,Her caption ended with afaik.
idk,He sent idk and then went offline.
rn,They kept saying rn in the chat.
smh,I saw smh in the comments again.
imo,Someone posted imo just to get a reaction.
imho,That thread turned into imho real fast.
fomo,He dropped fomo into the conversation for no reason.
yolo,The whole table cracked up after somebody said yolo.
af,The whole chat was af tonight.
wtf,I heard wtf from the back seat.
1 man 1 jar,That thread turned into 1 man 1 jar real fast.
1m1j,He dropped 1m1j into the conversation for no reason.
1man1jar,The whole table cracked up after somebody said 1man1jar.
2 girls 1 cup,Her caption ended with 2 girls 1 cup.
2g1c,He sent 2g1c and then went offline.
2girls1cup,They kept saying 2girls1cup in the chat.
4r5e,"Well, 4r5e."
5h1t,That turned into 5h1t fast.
5hit,What the 5hit.
@$$,Everything went @$$ after that.
a55,He just muttered a55 and left.
a_s_s,The whole chat was a_s_s tonight.
abbo,The voice note had abbo in it.
abeed,He called me abeed in the hallway.
abo,Someone typed abo into the class chat.
acrotomophile,The DM turned weird when he wrote acrotomophile.
acrotomophilia,They kept joking about acrotomophilia at lunch.
ahole,"Quit it, ahole."
alabama hot pocket,The older kids were whispering about alabama hot pocket.
alabama tuna melt,That thread got explicit the second alabama tuna melt showed up.
alaskan pipeline,He thought typing alaskan pipeline was funny.
anal,That comment said anal and got deleted fast.
anilingus,Someone dropped anilingus in the group chat.
anus,The DM turned weird when he wrote anus.
apeshit,What the apeshit.
arse,Everything went arse after that.
arsehole,"Wow, what an arsehole."
ass,The whole chat was ass tonight.
assclown,They called him assclown after the game.
assface,You're such assface.
asshat,Don't act like asshat.
asshole,Only an asshole would say that.
as fuck,She whispered as fuck under her breath.
bastard,"Quit it, bastard."
bean flicker,The older kids were whispering about bean flicker.
bellend,He's being a bellend again.
bitch,They called him bitch after the game.
blackie,He called me blackie in the hallway.
blow job,Someone dropped blow job in the group chat.
bollocks,That turned into bollocks fast.
bugger,What the bugger.
bullshit,Everything went bullshit after that.
camel jockey,He muttered camel jockey when that student walked in.
chink,Someone spray-painted chink on the fence.
clit,He thought typing clit was funny.
cock,That comment said cock and got deleted fast.
cocksucker,Someone dropped cocksucker in the group chat.
coon,A kid shouted coon during recess.
crap,What the crap.
cunt,Her phone screen flashed a message with cunt.
dammit,He stared at the screen and said dammit.
darkie,Someone spray-painted darkie on the fence.
dick,He thought typing dick was funny.
dickhead,You're such dickhead.
dipshit,Don't act like dipshit.
dyke,They got warned for saying dyke in class.
fag,A boy yelled fag across the gym.
faggot,That comment thread was full of faggot.
fellatio,The older kids were whispering about fellatio.
fisting,That thread got explicit the second fisting showed up.
fuck,I heard fuck from the back seat.
fuckhead,You're such fuckhead.
fuckoff,"Oh fuckoff, I missed the bus."
fuckwit,Only a fuckwit would say that.
goddamn,She whispered goddamn under her breath.
gook,The comment under the video just said gook.
jackass,"Wow, what a jackass."
jizz,That thread got explicit the second jizz showed up.
kike,Somebody wrote kike on the whiteboard.
moron,You're such moron.
motherfucker,Don't act like motherfucker.
nigga,A kid shouted nigga during recess.
nigger,They got reported for saying nigger on the bus.
paki,The comment under the video just said paki.
penis,The older kids were whispering about penis.
piss,The whole chat was piss tonight.
pussy,He thought typing pussy was funny.
queef,That comment said queef and got deleted fast.
rape,Someone dropped rape in the group chat.
retard,A kid got warned for saying retard.
shit,What the shit.
shithead,"Quit it, shithead."
slut,"Wow, what a slut."
spastic,The comment section turned ugly with spastic.
spic,The voice note had spic in it.
tosser,You're such tosser.
tranny,Someone wrote tranny under the post.
twat,That turned into twat fast.
wanker,"Move, wanker."
wetback,The comment under the video just said wetback.
whore,"Wow, what a whore."
zipperhead,Someone spray-painted zipperhead on the fence.
assmunch,They called him assmunch after the game.
big black cock,That comment said big black cock and got deleted fast.
bloody,"Well, bloody."
blowjob,The DM turned weird when he wrote blowjob.
1 man 1 jar,He dropped 1 man 1 jar into the group chat out of nowhere.
1 man 1 jar,Someone wrote 1 man 1 jar on the shared doc as a joke.
1 man 1 jar,The whole comment section spiraled after 1 man 1 jar showed up.
1 man 1 jar,She read the caption out loud and it ended with 1 man 1 jar.
1 man 1 jar,He posted 1 man 1 jar just to shock people in the thread.
1m1j,He dropped 1m1j into the group chat out of nowhere.
1m1j,Someone wrote 1m1j on the shared doc as a joke.
1m1j,The whole comment section spiraled after 1m1j showed up.
1m1j,She read the caption out loud and it ended with 1m1j.
1m1j,He posted 1m1j just to shock people in the thread.
1man1jar,He dropped 1man1jar into the group chat out of nowhere.
1man1jar,Someone wrote 1man1jar on the shared doc as a joke.
1man1jar,The whole comment section spiraled after 1man1jar showed up.
1man1jar,She read the caption out loud and it ended with 1man1jar.
1man1jar,He posted 1man1jar just to shock people in the thread.
2 girls 1 cup,He dropped 2 girls 1 cup into the group chat out of nowhere.
2 girls 1 cup,Someone wrote 2 girls 1 cup on the shared doc as a joke.
2 girls 1 cup,The whole comment section spiraled after 2 girls 1 cup showed up.
2 girls 1 cup,She read the caption out loud and it ended with 2 girls 1 cup.
2 girls 1 cup,He posted 2 girls 1 cup just to shock people in the thread.
2g1c,He dropped 2g1c into the group chat out of nowhere.
2g1c,Someone wrote 2g1c on the shared doc as a joke.
2g1c,The whole comment section spiraled after 2g1c showed up.
2g1c,She read the caption out loud and it ended with 2g1c.
2g1c,He posted 2g1c just to shock people in the thread.
2girls1cup,He dropped 2girls1cup into the group chat out of nowhere.
2girls1cup,Someone wrote 2girls1cup on the shared doc as a joke.
2girls1cup,The whole comment section spiraled after 2girls1cup showed up.
2girls1cup,She read the caption out loud and it ended with 2girls1cup.
2girls1cup,He posted 2girls1cup just to shock people in the thread.
4r5e,He slammed his book shut and said 4r5e.
4r5e,The caption ended with 4r5e in all caps.
4r5e,She stared at the broken screen and whispered 4r5e.
4r5e,Someone in voice chat kept repeating 4r5e.
4r5e,His reply was literally just 4r5e.
5h1t,He slammed his book shut and said 5h1t.
5h1t,The caption ended with 5h1t in all caps.
5h1t,She stared at the broken screen and whispered 5h1t.
5h1t,Someone in voice chat kept repeating 5h1t.
5h1t,His reply was literally just 5h1t.
5hit,He slammed his book shut and said 5hit.
5hit,The caption ended with 5hit in all caps.
5hit,She stared at the broken screen and whispered 5hit.
5hit,Someone in voice chat kept repeating 5hit.
5hit,His reply was literally just 5hit.
@$$,He slammed his book shut and said @$$.
@$$,The caption ended with @$$ in all caps.
@$$,She stared at the broken screen and whispered @$$.
@$$,Someone in voice chat kept repeating @$$.
@$$,His reply was literally just @$$.
a55,He slammed his book shut and said a55.
a55,The caption ended with a55 in all caps.
a55,She stared at the broken screen and whispered a55.
a55,Someone in voice chat kept repeating a55.
a55,His reply was literally just a55.
a_s_s,He slammed his book shut and said a_s_s.
a_s_s,The caption ended with a_s_s in all caps.
a_s_s,She stared at the broken screen and whispered a_s_s.
a_s_s,Someone in voice chat kept repeating a_s_s.
a_s_s,His reply was literally just a_s_s.
abbo,He said abbo at the lunch table and everyone went quiet.
abbo,Someone sent a message with abbo and got reported.
abbo,They were suspended for yelling abbo in the corridor.
abbo,The audio clip caught him saying abbo.
abbo,A fake account replied with abbo under her photo.
abeed,He said abeed at the lunch table and everyone went quiet.
abeed,Someone sent a message with abeed and got reported.
abeed,They were suspended for yelling abeed in the corridor.
abeed,The audio clip caught him saying abeed.
abeed,A fake account replied with abeed under her photo.
abo,He said abo at the lunch table and everyone went quiet.
abo,Someone sent a message with abo and got reported.
abo,They were suspended for yelling abo in the corridor.
abo,The audio clip caught him saying abo.
abo,A fake account replied with abo under her photo.
acrotomophile,The message turned explicit the moment someone wrote acrotomophile.
acrotomophile,She showed me a screenshot where he said acrotomophile.
acrotomophile,Someone in the thread kept baiting people with acrotomophile.
acrotomophile,The chat got uncomfortable after they started saying acrotomophile.
acrotomophile,He typed acrotomophile and waited for everyone to react.
acrotomophilia,The message turned explicit the moment someone wrote acrotomophilia.
acrotomophilia,She showed me a screenshot where he said acrotomophilia.
acrotomophilia,Someone in the thread kept baiting people with acrotomophilia.
acrotomophilia,The chat got uncomfortable after they started saying acrotomophilia.
acrotomophilia,He typed acrotomophilia and waited for everyone to react.
ahole,He muttered ahole when he thought I could not hear him.
ahole,She texted wow ahole and then unsent it.
ahole,Someone behind me said ahole after I answered.
ahole,The note on my desk just said ahole.
ahole,He laughed and called his teammate ahole after the miss.
alabama hot pocket,The message turned explicit the moment someone wrote alabama hot pocket.
alabama hot pocket,She showed me a screenshot where he said alabama hot pocket.
alabama hot pocket,Someone in the thread kept baiting people with alabama hot pocket.
alabama hot pocket,The chat got uncomfortable after they started saying alabama hot pocket.
alabama hot pocket,He typed alabama hot pocket and waited for everyone to react.
alabama tuna melt,The message turned explicit the moment someone wrote alabama tuna melt.
alabama tuna melt,She showed me a screenshot where he said alabama tuna melt.
alabama tuna melt,Someone in the thread kept baiting people with alabama tuna melt.
alabama tuna melt,The chat got uncomfortable after they started saying alabama tuna melt.
alabama tuna melt,He typed alabama tuna melt and waited for everyone to react.
alaskan pipeline,The message turned explicit the moment someone wrote alaskan pipeline.
alaskan pipeline,She showed me a screenshot where he said alaskan pipeline.
alaskan pipeline,Someone in the thread kept baiting people with alaskan pipeline.
alaskan pipeline,The chat got uncomfortable after they started saying alaskan pipeline.
alaskan pipeline,He typed alaskan pipeline and waited for everyone to react.
anal,The message turned explicit the moment someone wrote anal.
anal,She showed me a screenshot where he said anal.
anal,Someone in the thread kept baiting people with anal.
anal,The chat got uncomfortable after they started saying anal.
anal,He typed anal and waited for everyone to react.
anilingus,The message turned explicit the moment someone wrote anilingus.
anilingus,She showed me a screenshot where he said anilingus.
anilingus,Someone in the thread kept baiting people with anilingus.
anilingus,The chat got uncomfortable after they started saying anilingus.
anilingus,He typed anilingus and waited for everyone to react.
anus,The message turned explicit the moment someone wrote anus.
anus,She showed me a screenshot where he said anus.
anus,Someone in the thread kept baiting people with anus.
anus,The chat got uncomfortable after they started saying anus.
anus,He typed anus and waited for everyone to react.
apeshit,He slammed his book shut and said apeshit.
apeshit,The caption ended with apeshit in all caps.
apeshit,She stared at the broken screen and whispered apeshit.
apeshit,Someone in voice chat kept repeating apeshit.
apeshit,His reply was literally just apeshit.
arse,He slammed his book shut and said arse.
arse,The caption ended with arse in all caps.
arse,She stared at the broken screen and whispered arse.
arse,Someone in voice chat kept repeating arse.
arse,His reply was literally just arse.
arsehole,He muttered arsehole when he thought I could not hear him.
arsehole,She texted wow arsehole and then unsent it.
arsehole,Someone behind me said arsehole after I answered.
arsehole,The note on my desk just said arsehole.
arsehole,He laughed and called his teammate arsehole after the miss.
ass,He slammed his book shut and said ass.
ass,The caption ended with ass in all caps.
ass,She stared at the broken screen and whispered ass.
ass,Someone in voice chat kept repeating ass.
ass,His reply was literally just ass.
assclown,He muttered assclown when he thought I could not hear him.
assclown,She texted wow assclown and then unsent it.
assclown,Someone behind me said assclown after I answered.
assclown,The note on my desk just said assclown.
assclown,He laughed and called his teammate assclown after the miss.
assface,He muttered assface when he thought I could not hear him.
assface,She texted wow assface and then unsent it.
assface,Someone behind me said assface after I answered.
assface,The note on my desk just said assface.
assface,He laughed and called his teammate assface after the miss.
asshat,He muttered asshat when he thought I could not hear him.
asshat,She texted wow asshat and then unsent it.
asshat,Someone behind me said asshat after I answered.
asshat,The note on my desk just said asshat.
asshat,He laughed and called his teammate asshat after the miss.
asshole,He muttered asshole when he thought I could not hear him.
asshole,She texted wow asshole and then unsent it.
asshole,Someone behind me said asshole after I answered.
asshole,The note on my desk just said asshole.
asshole,He laughed and called his teammate asshole after the miss.
as fuck,He dropped his bag and went as fuck.
as fuck,I heard her say as fuck after the call ended.
as fuck,The first thing he shouted was as fuck.
as fuck,She typed as fuck and logged off.
as fuck,He looked at the score and just said as fuck.
bastard,He muttered bastard when he thought I could not hear him.
bastard,She texted wow bastard and then unsent it.
bastard,Someone behind me said bastard after I answered.
bastard,The note on my desk just said bastard.
bastard,He laughed and called his teammate bastard after the miss.
bean flicker,The message turned explicit the moment someone wrote bean flicker.
bean flicker,She showed me a screenshot where he said bean flicker.
bean flicker,Someone in the thread kept baiting people with bean flicker.
bean flicker,The chat got uncomfortable after they started saying bean flicker.
bean flicker,He typed bean flicker and waited for everyone to react.
bellend,He muttered bellend when he thought I could not hear him.
bellend,She texted wow bellend and then unsent it.
bellend,Someone behind me said bellend after I answered.
bellend,The note on my desk just said bellend.
bellend,He laughed and called his teammate bellend after the miss.
bitch,He muttered bitch when he thought I could not hear him.
bitch,She texted wow bitch and then unsent it.
bitch,Someone behind me said bitch after I answered.
bitch,The note on my desk just said bitch.
bitch,He laughed and called his teammate bitch after the miss.
blackie,He said blackie at the lunch table and everyone went quiet.
blackie,Someone sent a message with blackie and got reported.
blackie,They were suspended for yelling blackie in the corridor.
blackie,The audio clip caught him saying blackie.
blackie,A fake account replied with blackie under her photo.
blow job,The message turned explicit the moment someone wrote blow job.
blow job,She showed me a screenshot where he said blow job.
blow job,Someone in the thread kept baiting people with blow job.
blow job,The chat got uncomfortable after they started saying blow job.
blow job,He typed blow job and waited for everyone to react.
bollocks,He slammed his book shut and said bollocks.
bollocks,The caption ended with bollocks in all caps.
bollocks,She stared at the broken screen and whispered bollocks.
bollocks,Someone in voice chat kept repeating bollocks.
bollocks,His reply was literally just bollocks.
bugger,He slammed his book shut and said bugger.
bugger,The caption ended with bugger in all caps.
bugger,She stared at the broken screen and whispered bugger.
bugger,Someone in voice chat kept repeating bugger.
bugger,His reply was literally just bugger.
bullshit,He slammed his book shut and said bullshit.
bullshit,The caption ended with bullshit in all caps.
bullshit,She stared at the broken screen and whispered bullshit.
bullshit,Someone in voice chat kept repeating bullshit.
bullshit,His reply was literally just bullshit.
camel jockey,He said camel jockey at the lunch table and everyone went quiet.
camel jockey,Someone sent a message with camel jockey and got reported.
camel jockey,They were suspended for yelling camel jockey in the corridor.
camel jockey,The audio clip caught him saying camel jockey.
camel jockey,A fake account replied with camel jockey under her photo.
chink,He said chink at the lunch table and everyone went quiet.
chink,Someone sent a message with chink and got reported.
chink,They were suspended for yelling chink in the corridor.
chink,The audio clip caught him saying chink.
chink,A fake account replied with chink under her photo.
clit,The message turned explicit the moment someone wrote clit.
clit,She showed me a screenshot where he said clit.
clit,Someone in the thread kept baiting people with clit.
clit,The chat got uncomfortable after they started saying clit.
clit,He typed clit and waited for everyone to react.
cock,The message turned explicit the moment someone wrote cock.
cock,She showed me a screenshot where he said cock.
cock,Someone in the thread kept baiting people with cock.
cock,The chat got uncomfortable after they started saying cock.
cock,He typed cock and waited for everyone to react.
cocksucker,The message turned explicit the moment someone wrote cocksucker.
cocksucker,She showed me a screenshot where he said cocksucker.
cocksucker,Someone in the thread kept baiting people with cocksucker.
cocksucker,The chat got uncomfortable after they started saying cocksucker.
cocksucker,He typed cocksucker and waited for everyone to react.
coon,He said coon at the lunch table and everyone went quiet.
coon,Someone sent a message with coon and got reported.
coon,They were suspended for yelling coon in the corridor.
coon,The audio clip caught him saying coon.
coon,A fake account replied with coon under her photo.
crap,He slammed his book shut and said crap.
crap,The caption ended with crap in all caps.
crap,She stared at the broken screen and whispered crap.
crap,Someone in voice chat kept repeating crap.
crap,His reply was literally just crap.
cunt,The message turned explicit the moment someone wrote cunt.
cunt,She showed me a screenshot where he said cunt.
cunt,Someone in the thread kept baiting people with cunt.
cunt,The chat got uncomfortable after they started saying cunt.
cunt,He typed cunt and waited for everyone to react.
dammit,He dropped his bag and went dammit.
dammit,I heard her say dammit after the call ended.
dammit,The first thing he shouted was dammit.
dammit,She typed dammit and logged off.
dammit,He looked at the score and just said dammit.
darkie,He said darkie at the lunch table and everyone went quiet.
darkie,Someone sent a message with darkie and got reported.
darkie,They were suspended for yelling darkie in the corridor.
darkie,The audio clip caught him saying darkie.
darkie,A fake account replied with darkie under her photo.
dick,The message turned explicit the moment someone wrote dick.
dick,She showed me a screenshot where he said dick.
dick,Someone in the thread kept baiting people with dick.
dick,The chat got uncomfortable after they started saying dick.
dick,He typed dick and waited for everyone to react.
dickhead,He muttered dickhead when he thought I could not hear him.
dickhead,She texted wow dickhead and then unsent it.
dickhead,Someone behind me said dickhead after I answered.
dickhead,The note on my desk just said dickhead.
dickhead,He laughed and called his teammate dickhead after the miss.
dipshit,He muttered dipshit when he thought I could not hear him.
dipshit,She texted wow dipshit and then unsent it.
dipshit,Someone behind me said dipshit after I answered.
dipshit,The note on my desk just said dipshit.
dipshit,He laughed and called his teammate dipshit after the miss.
dyke,He wrote dyke on the whiteboard as a joke.
dyke,Someone used dyke in the voice chat and got kicked.
dyke,The comment called him dyke and then added laughing emojis.
dyke,She heard dyke from the back of the class.
dyke,A student got reported for posting dyke.
fag,He wrote fag on the whiteboard as a joke.
fag,Someone used fag in the voice chat and got kicked.
fag,The comment called him fag and then added laughing emojis.
fag,She heard fag from the back of the class.
fag,A student got reported for posting fag.
faggot,He wrote faggot on the whiteboard as a joke.
faggot,Someone used faggot in the voice chat and got kicked.
faggot,The comment called him faggot and then added laughing emojis.
faggot,She heard faggot from the back of the class.
faggot,A student got reported for posting faggot.
fellatio,The message turned explicit the moment someone wrote fellatio.
fellatio,She showed me a screenshot where he said fellatio.
fellatio,Someone in the thread kept baiting people with fellatio.
fellatio,The chat got uncomfortable after they started saying fellatio.
fellatio,He typed fellatio and waited for everyone to react.
fisting,The message turned explicit the moment someone wrote fisting.
fisting,She showed me a screenshot where he said fisting.
fisting,Someone in the thread kept baiting people with fisting.
fisting,The chat got uncomfortable after they started saying fisting.
fisting,He typed fisting and waited for everyone to react.
fuck,He slammed his book shut and said fuck.
fuck,The caption ended with fuck in all caps.
fuck,She stared at the broken screen and whispered fuck.
fuck,Someone in voice chat kept repeating fuck.
fuck,His reply was literally just fuck.
fuckhead,He muttered fuckhead when he thought I could not hear him.
fuckhead,She texted wow fuckhead and then unsent it.
fuckhead,Someone behind me said fuckhead after I answered.
fuckhead,The note on my desk just said fuckhead.
fuckhead,He laughed and called his teammate fuckhead after the miss.
fuckoff,He dropped his bag and went fuckoff.
fuckoff,I heard her say fuckoff after the call ended.
fuckoff,The first thing he shouted was fuckoff.
fuckoff,She typed fuckoff and logged off.
fuckoff,He looked at the score and just said fuckoff.
fuckwit,He muttered fuckwit when he thought I could not hear him.
fuckwit,She texted wow fuckwit and then unsent it.
fuckwit,Someone behind me said fuckwit after I answered.
fuckwit,The note on my desk just said fuckwit.
fuckwit,He laughed and called his teammate fuckwit after the miss.
goddamn,He dropped his bag and went goddamn.
goddamn,I heard her say goddamn after the call ended.
goddamn,The first thing he shouted was goddamn.
