term,usage_examples,category,text,g1,g2
dipshit,"The moderation review flagged ""dipshit"" as insulting or demeaning language in context.",insult,"Move, dipshit.",GENERIC,['BULLYING']
doofus,"The moderation review flagged ""doofus"" as insulting or demeaning language in context.",insult,You're such a doofus.,GENERIC,['BULLYING']
doofus,"The moderation review flagged ""doofus"" as insulting or demeaning language in context.",insult,Don't be a doofus.,GENERIC,['BULLYING']
doofus,"The moderation review flagged ""doofus"" as insulting or demeaning language in context.",insult,Only a doofus would do that.,GENERIC,['BULLYING']
doofus,"The moderation review flagged ""doofus"" as insulting or demeaning language in context.",insult,"Wow, what a doofus.",GENERIC,['BULLYING']
doofus,"The moderation review flagged ""doofus"" as insulting or demeaning language in context.",insult,"Move, doofus.",GENERIC,['BULLYING']
fool,"The moderation review flagged ""fool"" as insulting or demeaning language in context.",insult,You're such a fool.,GENERIC,['BULLYING']
fool,"The moderation review flagged ""fool"" as insulting or demeaning language in context.",insult,Don't be a fool.,GENERIC,['BULLYING']
fool,"The moderation review flagged ""fool"" as insulting or demeaning language in context.",insult,Only a fool would do that.,GENERIC,['BULLYING']
fool,"The moderation review flagged ""fool"" as insulting or demeaning language in context.",insult,"Wow, what a fool.",GENERIC,['BULLYING']
fool,"The moderation review flagged ""fool"" as insulting or demeaning language in context.",insult,"Move, fool.",GENERIC,['BULLYING']
meathead,"The moderation review flagged ""meathead"" as insulting or demeaning language in context.",insult,You're such a meathead.,GENERIC,['BULLYING']
meathead,"The moderation review flagged ""meathead"" as insulting or demeaning language in context.",insult,Don't be a meathead.,GENERIC,['BULLYING']
meathead,"The moderation review flagged ""meathead"" as insulting or demeaning language in context.",insult,Only a meathead would do that.,GENERIC,['BULLYING']
meathead,"The moderation review flagged ""meathead"" as insulting or demeaning language in context.",insult,"Wow, what a meathead.",GENERIC,['BULLYING']
meathead,"The moderation review flagged ""meathead"" as insulting or demeaning language in context.",insult,"Move, meathead.",GENERIC,['BULLYING']
nitwit,"The moderation review flagged ""nitwit"" as insulting or demeaning language in context.",insult,You're such a nitwit.,GENERIC,['BULLYING']
nitwit,"The moderation review flagged ""nitwit"" as insulting or demeaning language in context.",insult,Don't be a nitwit.,GENERIC,['BULLYING']
nitwit,"The moderation review flagged ""nitwit"" as insulting or demeaning language in context.",insult,Only a nitwit would do that.,GENERIC,['BULLYING']
nitwit,"The moderation review flagged ""nitwit"" as insulting or demeaning language in context.",insult,"Wow, what a nitwit.",GENERIC,['BULLYING']
nitwit,"The moderation review flagged ""nitwit"" as insulting or demeaning language in context.",insult,"Move, nitwit.",GENERIC,['BULLYING']
numbskull,"The moderation review flagged ""numbskull"" as insulting or demeaning language in context.",insult,You're such a numbskull.,GENERIC,['BULLYING']
numbskull,"The moderation review flagged ""numbskull"" as insulting or demeaning language in context.",insult,Don't be a numbskull.,GENERIC,['BULLYING']
numbskull,"The moderation review flagged ""numbskull"" as insulting or demeaning language in context.",insult,Only a numbskull would do that.,GENERIC,['BULLYING']
numbskull,"The moderation review flagged ""numbskull"" as insulting or demeaning language in context.",insult,"Wow, what a numbskull.",GENERIC,['BULLYING']
numbskull,"The moderation review flagged ""numbskull"" as insulting or demeaning language in context.",insult,"Move, numbskull.",GENERIC,['BULLYING']
prick,"The moderation review flagged ""prick"" as insulting or demeaning language in context.",insult,You're such a prick.,GENERIC,['BULLYING']
prick,"The moderation review flagged ""prick"" as insulting or demeaning language in context.",insult,Don't be a prick.,GENERIC,['BULLYING']
prick,"The moderation review flagged ""prick"" as insulting or demeaning language in context.",insult,Only a prick would do that.,GENERIC,['BULLYING']
prick,"The moderation review flagged ""prick"" as insulting or demeaning language in context.",insult,"Wow, what a prick.",GENERIC,['BULLYING']
prick,"The moderation review flagged ""prick"" as insulting or demeaning language in context.",insult,"Move, prick.",GENERIC,['BULLYING']
scumbag,"The moderation review flagged ""scumbag"" as insulting or demeaning language in context.",insult,You're such a scumbag.,GENERIC,['BULLYING']
scumbag,"The moderation review flagged ""scumbag"" as insulting or demeaning language in context.",insult,Don't be a scumbag.,GENERIC,['BULLYING']
scumbag,"The moderation review flagged ""scumbag"" as insulting or demeaning language in context.",insult,Only a scumbag would do that.,GENERIC,['BULLYING']
scumbag,"The moderation review flagged ""scumbag"" as insulting or demeaning language in context.",insult,"Wow, what a scumbag.",GENERIC,['BULLYING']
scumbag,"The moderation review flagged ""scumbag"" as insulting or demeaning language in context.",insult,"Move, scumbag.",GENERIC,['BULLYING']
tool,"The moderation review flagged ""tool"" as insulting or demeaning language in context.",insult,You're such a tool.,GENERIC,['BULLYING']
tool,"The moderation review flagged ""tool"" as insulting or demeaning language in context.",insult,Don't be a tool.,GENERIC,['BULLYING']
tool,"The moderation review flagged ""tool"" as insulting or demeaning language in context.",insult,Only a tool would do that.,GENERIC,['BULLYING']
tool,"The moderation review flagged ""tool"" as insulting or demeaning language in context.",insult,"Wow, what a tool.",GENERIC,['BULLYING']
tool,"The moderation review flagged ""tool"" as insulting or demeaning language in context.",insult,"Move, tool.",GENERIC,['BULLYING']
wannabe,"The moderation review flagged ""wannabe"" as insulting or demeaning language in context.",insult,He called me wannabe in the class group chat after I answered the question.,TECHNOLOGY,['BULLYING']
wannabe,"The moderation review flagged ""wannabe"" as insulting or demeaning language in context.",insult,Someone kept yelling wannabe at me during the game when I made a mistake.,GENERIC,['BULLYING']
wannabe,"The moderation review flagged ""wannabe"" as insulting or demeaning language in context.",insult,The older kids were laughing and saying I was a wannabe at lunch.,GENERIC,['BULLYING']
wannabe,"The moderation review flagged ""wannabe"" as insulting or demeaning language in context.",insult,A person commented wannabe under my post after I shared my drawing.,TECHNOLOGY,['BULLYING']
wannabe,"The moderation review flagged ""wannabe"" as insulting or demeaning language in context.",insult,"My teammate got mad and said move, wannabe during practice.",GENERIC,['BULLYING']
weirdo,"The moderation review flagged ""weirdo"" as insulting or demeaning language in context.",insult,He called me weirdo in the class group chat after I answered the question.,TECHNOLOGY,['BULLYING']
weirdo,"The moderation review flagged ""weirdo"" as insulting or demeaning language in context.",insult,Someone kept yelling weirdo at me during the game when I made a mistake.,GENERIC,['BULLYING']
weirdo,"The moderation review flagged ""weirdo"" as insulting or demeaning language in context.",insult,The older kids were laughing and saying I was a weirdo at lunch.,GENERIC,['BULLYING']
weirdo,"The moderation review flagged ""weirdo"" as insulting or demeaning language in context.",insult,A person commented weirdo under my post after I shared my drawing.,TECHNOLOGY,['BULLYING']
weirdo,"The moderation review flagged ""weirdo"" as insulting or demeaning language in context.",insult,"My teammate got mad and said move, weirdo during practice.",GENERIC,['BULLYING']
wimp,"The moderation review flagged ""wimp"" as insulting or demeaning language in context.",insult,He called me wimp in the class group chat after I answered the question.,TECHNOLOGY,['BULLYING']
wimp,"The moderation review flagged ""wimp"" as insulting or demeaning language in context.",insult,Someone kept yelling wimp at me during the game when I made a mistake.,GENERIC,['BULLYING']
wimp,"The moderation review flagged ""wimp"" as insulting or demeaning language in context.",insult,The older kids were laughing and saying I was a wimp at lunch.,GENERIC,['BULLYING']
wimp,"The moderation review flagged ""wimp"" as insulting or demeaning language in context.",insult,A person commented wimp under my post after I shared my drawing.,TECHNOLOGY,['BULLYING']
wimp,"The moderation review flagged ""wimp"" as insulting or demeaning language in context.",insult,"My teammate got mad and said move, wimp during practice.",GENERIC,['BULLYING']
coward,"The moderation review flagged ""coward"" as insulting or demeaning language in context.",insult,He called me coward in the class group chat after I answered the question.,TECHNOLOGY,['BULLYING']
coward,"The moderation review flagged ""coward"" as insulting or demeaning language in context.",insult,Someone kept yelling coward at me during the game when I made a mistake.,GENERIC,['BULLYING']
coward,"The moderation review flagged ""coward"" as insulting or demeaning language in context.",insult,The older kids were laughing and saying I was a coward at lunch.,GENERIC,['BULLYING']
coward,"The moderation review flagged ""coward"" as insulting or demeaning language in context.",insult,A person commented coward under my post after I shared my drawing.,TECHNOLOGY,['BULLYING']
coward,"The moderation review flagged ""coward"" as insulting or demeaning language in context.",insult,"My teammate got mad and said move, coward during practice.",GENERIC,['BULLYING']
garbage,"The moderation review flagged ""garbage"" as insulting or demeaning language in context.",insult,He called me garbage in the class group chat after I answered the question.,TECHNOLOGY,['BULLYING']
garbage,"The moderation review flagged ""garbage"" as insulting or demeaning language in context.",insult,Someone kept yelling garbage at me during the game when I made a mistake.,GENERIC,['BULLYING']
garbage,"The moderation review flagged ""garbage"" as insulting or demeaning language in context.",insult,The older kids were laughing and saying I was a garbage at lunch.,GENERIC,['BULLYING']
garbage,"The moderation review flagged ""garbage"" as insulting or demeaning language in context.",insult,A person commented garbage under my post after I shared my drawing.,TECHNOLOGY,['BULLYING']
garbage,"The moderation review flagged ""garbage"" as insulting or demeaning language in context.",insult,"My teammate got mad and said move, garbage during practice.",GENERIC,['BULLYING']
trashbag,"The moderation review flagged ""trashbag"" as insulting or demeaning language in context.",insult,He called me trashbag in the class group chat after I answered the question.,TECHNOLOGY,['BULLYING']
trashbag,"The moderation review flagged ""trashbag"" as insulting or demeaning language in context.",insult,Someone kept yelling trashbag at me during the game when I made a mistake.,GENERIC,['BULLYING']
trashbag,"The moderation review flagged ""trashbag"" as insulting or demeaning language in context.",insult,The older kids were laughing and saying I was a trashbag at lunch.,GENERIC,['BULLYING']
trashbag,"The moderation review flagged ""trashbag"" as insulting or demeaning language in context.",insult,A person commented trashbag under my post after I shared my drawing.,TECHNOLOGY,['BULLYING']
trashbag,"The moderation review flagged ""trashbag"" as insulting or demeaning language in context.",insult,"My teammate got mad and said move, trashbag during practice.",GENERIC,['BULLYING']
trashcan,"The moderation review flagged ""trashcan"" as insulting or demeaning language in context.",insult,He called me trashcan in the class group chat after I answered the question.,TECHNOLOGY,['BULLYING']
trashcan,"The moderation review flagged ""trashcan"" as insulting or demeaning language in context.",insult,Someone kept yelling trashcan at me during the game when I made a mistake.,GENERIC,['BULLYING']
trashcan,"The moderation review flagged ""trashcan"" as insulting or demeaning language in context.",insult,The older kids were laughing and saying I was a trashcan at lunch.,GENERIC,['BULLYING']
trashcan,"The moderation review flagged ""trashcan"" as insulting or demeaning language in context.",insult,A person commented trashcan under my post after I shared my drawing.,TECHNOLOGY,['BULLYING']
trashcan,"The moderation review flagged ""trashcan"" as insulting or demeaning language in context.",insult,"My teammate got mad and said move, trashcan during practice.",GENERIC,['BULLYING']
creep,"The moderation review flagged ""creep"" as insulting or demeaning language in context.",insult,He called me creep in the class group chat after I answered the question.,TECHNOLOGY,['BULLYING']
creep,"The moderation review flagged ""creep"" as insulting or demeaning language in context.",insult,Someone kept yelling creep at me during the game when I made a mistake.,GENERIC,['BULLYING']
creep,"The moderation review flagged ""creep"" as insulting or demeaning language in context.",insult,The older kids were laughing and saying I was a creep at lunch.,GENERIC,['BULLYING']
creep,"The moderation review flagged ""creep"" as insulting or demeaning language in context.",insult,A person commented creep under my post after I shared my drawing.,TECHNOLOGY,['BULLYING']
creep,"The moderation review flagged ""creep"" as insulting or demeaning language in context.",insult,"My teammate got mad and said move, creep during practice.",GENERIC,['BULLYING']
psycho,"The moderation review flagged ""psycho"" as insulting or demeaning language in context.",insult,He called me psycho in the class group chat after I answered the question.,TECHNOLOGY,['BULLYING']
psycho,"The moderation review flagged ""psycho"" as insulting or demeaning language in context.",insult,Someone kept yelling psycho at me during the game when I made a mistake.,GENERIC,['BULLYING']
psycho,"The moderation review flagged ""psycho"" as insulting or demeaning language in context.",insult,The older kids were laughing and saying I was a psycho at lunch.,GENERIC,['BULLYING']
psycho,"The moderation review flagged ""psycho"" as insulting or demeaning language in context.",insult,A person commented psycho under my post after I shared my drawing.,TECHNOLOGY,['BULLYING']
psycho,"The moderation review flagged ""psycho"" as insulting or demeaning language in context.",insult,"My teammate got mad and said move, psycho during practice.",GENERIC,['BULLYING']
lamebrain,"The moderation review flagged ""lamebrain"" as insulting or demeaning language in context.",insult,He called me lamebrain in the class group chat after I answered the question.,TECHNOLOGY,['BULLYING']
lamebrain,"The moderation review flagged ""lamebrain"" as insulting or demeaning language in context.",insult,Someone kept yelling lamebrain at me during the game when I made a mistake.,GENERIC,['BULLYING']
lamebrain,"The moderation review flagged ""lamebrain"" as insulting or demeaning language in context.",insult,The older kids were laughing and saying I was a lamebrain at lunch.,GENERIC,['BULLYING']
lamebrain,"The moderation review flagged ""lamebrain"" as insulting or demeaning language in context.",insult,A person commented lamebrain under my post after I shared my drawing.,TECHNOLOGY,['BULLYING']
lamebrain,"The moderation review flagged ""lamebrain"" as insulting or demeaning language in context.",insult,"My teammate got mad and said move, lamebrain during practice.",GENERIC,['BULLYING']
freak,"The moderation review flagged ""freak"" as insulting or demeaning language in context.",insult,He called me freak in the class group chat after I answered the question.,TECHNOLOGY,['BULLYING']
freak,"The moderation review flagged ""freak"" as insulting or demeaning language in context.",insult,Someone kept yelling freak at me during the game when I made a mistake.,GENERIC,['BULLYING']
freak,"The moderation review flagged ""freak"" as insulting or demeaning language in context.",insult,The older kids were laughing and saying I was a freak at lunch.,GENERIC,['BULLYING']
freak,"The moderation review flagged ""freak"" as insulting or demeaning language in context.",insult,A person commented freak under my post after I shared my drawing.,TECHNOLOGY,['BULLYING']
freak,"The moderation review flagged ""freak"" as insulting or demeaning language in context.",insult,"My teammate got mad and said move, freak during practice.",GENERIC,['BULLYING']
brat,"The moderation review flagged ""brat"" as insulting or demeaning language in context.",insult,He called me brat in the class group chat after I answered the question.,TECHNOLOGY,['BULLYING']
brat,"The moderation review flagged ""brat"" as insulting or demeaning language in context.",insult,Someone kept yelling brat at me during the game when I made a mistake.,GENERIC,['BULLYING']
brat,"The moderation review flagged ""brat"" as insulting or demeaning language in context.",insult,The older kids were laughing and saying I was a brat at lunch.,GENERIC,['BULLYING']
brat,"The moderation review flagged ""brat"" as insulting or demeaning language in context.",insult,A person commented brat under my post after I shared my drawing.,TECHNOLOGY,['BULLYING']
brat,"The moderation review flagged ""brat"" as insulting or demeaning language in context.",insult,"My teammate got mad and said move, brat during practice.",GENERIC,['BULLYING']
cheapskate,"The moderation review flagged ""cheapskate"" as insulting or demeaning language in context.",insult,He called me cheapskate in the class group chat after I answered the question.,TECHNOLOGY,['BULLYING']
cheapskate,"The moderation review flagged ""cheapskate"" as insulting or demeaning language in context.",insult,Someone kept yelling cheapskate at me during the game when I made a mistake.,GENERIC,['BULLYING']
cheapskate,"The moderation review flagged ""cheapskate"" as insulting or demeaning language in context.",insult,The older kids were laughing and saying I was a cheapskate at lunch.,GENERIC,['BULLYING']
cheapskate,"The moderation review flagged ""cheapskate"" as insulting or demeaning language in context.",insult,A person commented cheapskate under my post after I shared my drawing.,TECHNOLOGY,['BULLYING']
cheapskate,"The moderation review flagged ""cheapskate"" as insulting or demeaning language in context.",insult,"My teammate got mad and said move, cheapskate during practice.",GENERIC,['BULLYING']
crybaby,"The moderation review flagged ""crybaby"" as insulting or demeaning language in context.",insult,He called me crybaby in the class group chat after I answered the question.,TECHNOLOGY,['BULLYING']
crybaby,"The moderation review flagged ""crybaby"" as insulting or demeaning language in context.",insult,Someone kept yelling crybaby at me during the game when I made a mistake.,GENERIC,['BULLYING']
crybaby,"The moderation review flagged ""crybaby"" as insulting or demeaning language in context.",insult,The older kids were laughing and saying I was a crybaby at lunch.,GENERIC,['BULLYING']
crybaby,"The moderation review flagged ""crybaby"" as insulting or demeaning language in context.",insult,A person commented crybaby under my post after I shared my drawing.,TECHNOLOGY,['BULLYING']
crybaby,"The moderation review flagged ""crybaby"" as insulting or demeaning language in context.",insult,"My teammate got mad and said move, crybaby during practice.",GENERIC,['BULLYING']
dingbat,"The moderation review flagged ""dingbat"" as insulting or demeaning language in context.",insult,He called me dingbat in the class group chat after I answered the question.,TECHNOLOGY,['BULLYING']
dingbat,"The moderation review flagged ""dingbat"" as insulting or demeaning language in context.",insult,Someone kept yelling dingbat at me during the game when I made a mistake.,GENERIC,['BULLYING']
dingbat,"The moderation review flagged ""dingbat"" as insulting or demeaning language in context.",insult,The older kids were laughing and saying I was a dingbat at lunch.,GENERIC,['BULLYING']
dingbat,"The moderation review flagged ""dingbat"" as insulting or demeaning language in context.",insult,A person commented dingbat under my post after I shared my drawing.,TECHNOLOGY,['BULLYING']
dingbat,"The moderation review flagged ""dingbat"" as insulting or demeaning language in context.",insult,"My teammate got mad and said move, dingbat during practice.",GENERIC,['BULLYING']
dirtbag,"The moderation review flagged ""dirtbag"" as insulting or demeaning language in context.",insult,He called me dirtbag in the class group chat after I answered the question.,TECHNOLOGY,['BULLYING']
dirtbag,"The moderation review flagged ""dirtbag"" as insulting or demeaning language in context.",insult,Someone kept yelling dirtbag at me during the game when I made a mistake.,GENERIC,['BULLYING']
dirtbag,"The moderation review flagged ""dirtbag"" as insulting or demeaning language in context.",insult,The older kids were laughing and saying I was a dirtbag at lunch.,GENERIC,['BULLYING']
dirtbag,"The moderation review flagged ""dirtbag"" as insulting or demeaning language in context.",insult,A person commented dirtbag under my post after I shared my drawing.,TECHNOLOGY,['BULLYING']
dirtbag,"The moderation review flagged ""dirtbag"" as insulting or demeaning language in context.",insult,"My teammate got mad and said move, dirtbag during practice.",GENERIC,['BULLYING']
goon,"The moderation review flagged ""goon"" as insulting or demeaning language in context.",insult,He called me goon in the class group chat after I answered the question.,TECHNOLOGY,['BULLYING']
goon,"The moderation review flagged ""goon"" as insulting or demeaning language in context.",insult,Someone kept yelling goon at me during the game when I made a mistake.,GENERIC,['BULLYING']
goon,"The moderation review flagged ""goon"" as insulting or demeaning language in context.",insult,The older kids were laughing and saying I was a goon at lunch.,GENERIC,['BULLYING']
goon,"The moderation review flagged ""goon"" as insulting or demeaning language in context.",insult,A person commented goon under my post after I shared my drawing.,TECHNOLOGY,['BULLYING']
goon,"The moderation review flagged ""goon"" as insulting or demeaning language in context.",insult,"My teammate got mad and said move, goon during practice.",GENERIC,['BULLYING']
halfwit,"The moderation review flagged ""halfwit"" as insulting or demeaning language in context.",insult,He called me halfwit in the class group chat after I answered the question.,TECHNOLOGY,['BULLYING']
halfwit,"The moderation review flagged ""halfwit"" as insulting or demeaning language in context.",insult,Someone kept yelling halfwit at me during the game when I made a mistake.,GENERIC,['BULLYING']
halfwit,"The moderation review flagged ""halfwit"" as insulting or demeaning language in context.",insult,The older kids were laughing and saying I was a halfwit at lunch.,GENERIC,['BULLYING']
halfwit,"The moderation review flagged ""halfwit"" as insulting or demeaning language in context.",insult,A person commented halfwit under my post after I shared my drawing.,TECHNOLOGY,['BULLYING']
halfwit,"The moderation review flagged ""halfwit"" as insulting or demeaning language in context.",insult,"My teammate got mad and said move, halfwit during practice.",GENERIC,['BULLYING']
knucklehead,"The moderation review flagged ""knucklehead"" as insulting or demeaning language in context.",insult,He called me knucklehead in the class group chat after I answered the question.,TECHNOLOGY,['BULLYING']
knucklehead,"The moderation review flagged ""knucklehead"" as insulting or demeaning language in context.",insult,Someone kept yelling knucklehead at me during the game when I made a mistake.,GENERIC,['BULLYING']
knucklehead,"The moderation review flagged ""knucklehead"" as insulting or demeaning language in context.",insult,The older kids were laughing and saying I was a knucklehead at lunch.,GENERIC,['BULLYING']
knucklehead,"The moderation review flagged ""knucklehead"" as insulting or demeaning language in context.",insult,A person commented knucklehead under my post after I shared my drawing.,TECHNOLOGY,['BULLYING']
knucklehead,"The moderation review flagged ""knucklehead"" as insulting or demeaning language in context.",insult,"My teammate got mad and said move, knucklehead during practice.",GENERIC,['BULLYING']
sleazebag,"The moderation review flagged ""sleazebag"" as insulting or demeaning language in context.",insult,He called me sleazebag in the class group chat after I answered the question.,TECHNOLOGY,['BULLYING']
sleazebag,"The moderation review flagged ""sleazebag"" as insulting or demeaning language in context.",insult,Someone kept yelling sleazebag at me during the game when I made a mistake.,GENERIC,['BULLYING']
sleazebag,"The moderation review flagged ""sleazebag"" as insulting or demeaning language in context.",insult,The older kids were laughing and saying I was a sleazebag at lunch.,GENERIC,['BULLYING']
sleazebag,"The moderation review flagged ""sleazebag"" as insulting or demeaning language in context.",insult,A person commented sleazebag under my post after I shared my drawing.,TECHNOLOGY,['BULLYING']
sleazebag,"The moderation review flagged ""sleazebag"" as insulting or demeaning language in context.",insult,"My teammate got mad and said move, sleazebag during practice.",GENERIC,['BULLYING']
ass,"The moderation review flagged ""ass"" as vulgar language in context.",vulgarity,He got angry and shouted ass when he dropped his phone.,GENERIC,['GENERIC_INTENT']
ass,"The moderation review flagged ""ass"" as vulgar language in context.",vulgarity,The message just said ass after the plan got cancelled.,TECHNOLOGY,['GENERIC_INTENT']
ass,"The moderation review flagged ""ass"" as vulgar language in context.",vulgarity,Someone typed ass in the chat when the game froze again.,TECHNOLOGY,['GENERIC_INTENT']
