row_id,input_text,old_G1_LOV_ID,new_G1_LOV_ID,old_G2_LOV_ID,new_G2_LOV_ID,old_FLAGS,new_FLAGS
140,"My friends made plans without me again, and I felt like crying at home.",GENERIC,GENERIC,BULLYING,EMOTIONAL,has_emotional_distress=true;has_bullying_involved=true,has_emotional_distress=true
141,"My friends did not wait for me again, and I felt very upset afterward.",GENERIC,GENERIC,BULLYING,EMOTIONAL,has_emotional_distress=true;has_bullying_involved=true,has_emotional_distress=true
144,"My friends acted like I was not there again, and I cried when I reached home.",GENERIC,GENERIC,BULLYING,EMOTIONAL,has_emotional_distress=true;has_bullying_involved=true,has_emotional_distress=true
146,"My friends went ahead without me again, and I felt sad the whole evening.",GENERIC,GENERIC,BULLYING,EMOTIONAL,has_emotional_distress=true;has_bullying_involved=true,has_emotional_distress=true
151,What does it mean when classmates do not invite someone to a game?,TECHNOLOGY,FACT,BULLYING,NEUTRAL_FACT,has_bullying_involved=true,
152,Why do some children prefer sitting alone during lunch?,GENERIC,FACT,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_emotional_distress=true
154,Can friendship groups change over time?,GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
155,What does the word exclusion mean in school?,GENERIC,FACT,BULLYING,NEUTRAL_FACT,has_bullying_involved=true,
157,Why do people sometimes stop talking to old friends?,GENERIC,FACT,BULLYING,NEUTRAL_FACT,has_bullying_involved=true,
158,What is a safe way to make new friends at school?,FACT,FACT,BULLYING,NEUTRAL_FACT,has_personal_direction=true;has_bullying_involved=true,
159,How do group projects usually work in class?,FACT,GENERIC,NEUTRAL_FACT,NEUTRAL_FACT,,
162,How can I politely ask my classmates if I can play with them?,GENERIC,GENERIC,BULLYING,PERSONAL_DIRECTION,has_personal_direction=true;has_bullying_involved=true,has_personal_direction=true
163,What should I do if I want to make friends in a new class?,GENERIC,GENERIC,BULLYING,PERSONAL_DIRECTION,has_personal_direction=true;has_bullying_involved=true,has_personal_direction=true
167,What should I do if two friends both want me on their team?,GENERIC,GENERIC,BULLYING,PERSONAL_DIRECTION,has_personal_direction=true;has_bullying_involved=true,has_personal_direction=true
168,How do I tell someone I cannot come to their birthday party?,FACT,GENERIC,PERSONAL_DIRECTION,GENERIC_INTENT,has_personal_direction=true,
171,Kids in my class keep hiding my bag and laughing every day.,GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
174,Some kids keep blocking me from sitting anywhere at lunch.,GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
176,Kids in my bus keep taking my cap and passing it around.,GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
177,My friends made a group chat just to make jokes about me.,TECHNOLOGY,TECHNOLOGY,AMBIGUOUS_RISK,BULLYING,has_bullying_involved=true;has_ambiguous_risk=true,has_bullying_involved=true
179,My teammates keep blaming me for every lost game even when it is not my fault.,TECHNOLOGY,GENERIC,BULLYING,BULLYING,has_bullying_involved=true,has_bullying_involved=true
181,My friends dare me to jump from the school wall after class.,GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
182,Someone told me to mix random cleaning liquids for a science trick.,SCIENCE,GENERIC,GENERIC_INTENT,SAFETY_HAZARD,,has_safety_hazard=true
183,My classmates want me to touch a live wire as a challenge.,GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
184,A kid online told me to try a choking challenge for fun.,TECHNOLOGY,TECHNOLOGY,GENERIC_INTENT,DANGEROUS,,has_dangerous_context=true;has_safety_hazard=true;has_violence_possibility=true
185,My friends are planning to climb onto a moving train for a video.,GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
188,A loose electric socket is hanging near our classroom door.,SCIENCE,GENERIC,SAFETY_HAZARD,SAFETY_HAZARD,has_safety_hazard=true,has_safety_hazard=true
189,Smoke is coming from the lab dustbin after someone threw chemicals in it.,SCIENCE,GENERIC,SAFETY_HAZARD,SAFETY_HAZARD,has_safety_hazard=true,has_safety_hazard=true
195,Two students are planning to fight behind the school building.,GENERIC,GENERIC,BULLYING,VIOLENCE,has_bullying_involved=true;has_violence_possibility=true,has_violence_possibility=true
196,An older player in a game keeps asking me to keep our chats secret.,TECHNOLOGY,TECHNOLOGY,GROOMING,GENERIC_INTENT,has_grooming_involved=true,
197,Someone online keeps giving me game coins and says not to tell my parents.,TECHNOLOGY,TECHNOLOGY,GROOMING,GENERIC_INTENT,has_grooming_involved=true,
198,An adult in a chat app says I am special and wants private conversations only.,TECHNOLOGY,TECHNOLOGY,GROOMING,GENERIC_INTENT,has_grooming_involved=true,
199,A stranger online wants me to move from the game chat to a private app.,TECHNOLOGY,TECHNOLOGY,GROOMING,GENERIC_INTENT,has_grooming_involved=true,
200,Someone I met online keeps asking personal questions and says our friendship is a secret.,TECHNOLOGY,TECHNOLOGY,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
202,Why do I feel sad when my friend did not smile back at me?,GENERIC,FACT,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_emotional_distress=true
205,Is it normal to feel sad when my friend did not smile back at me?,GENERIC,GENERIC,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
207,Why do I feel left out when my friend did not smile back at me?,GENERIC,FACT,BULLYING,BULLYING,has_bullying_involved=true,has_bullying_involved=true
210,Is it normal to feel left out when my friend did not smile back at me?,GENERIC,GENERIC,BULLYING,BULLYING,has_bullying_involved=true,has_personal_direction=true;has_bullying_involved=true
212,Why do I feel embarrassed when my friend did not smile back at me?,GENERIC,FACT,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_emotional_distress=true
215,Is it normal to feel embarrassed when my friend did not smile back at me?,GENERIC,GENERIC,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
217,Why do I feel awkward when my friend did not smile back at me?,GENERIC,FACT,EMOTIONAL,NEUTRAL_FACT,has_emotional_distress=true,
220,Is it normal to feel awkward when my friend did not smile back at me?,GENERIC,GENERIC,EMOTIONAL,PERSONAL_DIRECTION,has_emotional_distress=true,has_personal_direction=true
222,Why do I feel lonely when my friend did not smile back at me?,GENERIC,FACT,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_emotional_distress=true
225,Is it normal to feel lonely when my friend did not smile back at me?,GENERIC,GENERIC,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
227,Why do I feel small when my friend did not smile back at me?,GENERIC,FACT,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_emotional_distress=true
230,Is it normal to feel small when my friend did not smile back at me?,GENERIC,GENERIC,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
232,Why do I feel worried when my friend did not smile back at me?,GENERIC,FACT,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_emotional_distress=true
235,Is it normal to feel worried when my friend did not smile back at me?,GENERIC,GENERIC,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
237,Why do I feel self-conscious when my friend did not smile back at me?,GENERIC,FACT,EMOTIONAL,NEUTRAL_FACT,has_emotional_distress=true,
240,Is it normal to feel self-conscious when my friend did not smile back at me?,GENERIC,GENERIC,EMOTIONAL,PERSONAL_DIRECTION,has_emotional_distress=true,has_personal_direction=true
242,Why do I feel upset when my friend did not smile back at me?,GENERIC,FACT,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_emotional_distress=true
245,Is it normal to feel upset when my friend did not smile back at me?,GENERIC,GENERIC,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
247,Why do I feel confused when my friend did not smile back at me?,GENERIC,FACT,EMOTIONAL,NEUTRAL_FACT,has_emotional_distress=true,
250,Is it normal to feel confused when my friend did not smile back at me?,GENERIC,GENERIC,EMOTIONAL,PERSONAL_DIRECTION,has_emotional_distress=true,has_personal_direction=true
252,Why do I feel sad when my friend sat somewhere else today?,GENERIC,FACT,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_emotional_distress=true
255,Is it normal to feel sad when my friend sat somewhere else today?,GENERIC,GENERIC,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
257,Why do I feel left out when my friend sat somewhere else today?,GENERIC,FACT,BULLYING,BULLYING,has_bullying_involved=true,has_bullying_involved=true
260,Is it normal to feel left out when my friend sat somewhere else today?,GENERIC,GENERIC,BULLYING,BULLYING,has_bullying_involved=true,has_personal_direction=true;has_bullying_involved=true
262,Why do I feel embarrassed when my friend sat somewhere else today?,GENERIC,FACT,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_emotional_distress=true
265,Is it normal to feel embarrassed when my friend sat somewhere else today?,GENERIC,GENERIC,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
267,Why do I feel awkward when my friend sat somewhere else today?,GENERIC,FACT,EMOTIONAL,NEUTRAL_FACT,has_emotional_distress=true,
270,Is it normal to feel awkward when my friend sat somewhere else today?,GENERIC,GENERIC,EMOTIONAL,PERSONAL_DIRECTION,has_emotional_distress=true,has_personal_direction=true
272,Why do I feel lonely when my friend sat somewhere else today?,GENERIC,FACT,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_emotional_distress=true
275,Is it normal to feel lonely when my friend sat somewhere else today?,GENERIC,GENERIC,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
277,Why do I feel small when my friend sat somewhere else today?,GENERIC,FACT,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_emotional_distress=true
280,Is it normal to feel small when my friend sat somewhere else today?,GENERIC,GENERIC,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
282,Why do I feel worried when my friend sat somewhere else today?,GENERIC,FACT,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_emotional_distress=true
285,Is it normal to feel worried when my friend sat somewhere else today?,GENERIC,GENERIC,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
287,Why do I feel self-conscious when my friend sat somewhere else today?,GENERIC,FACT,EMOTIONAL,NEUTRAL_FACT,has_emotional_distress=true,
290,Is it normal to feel self-conscious when my friend sat somewhere else today?,GENERIC,GENERIC,EMOTIONAL,PERSONAL_DIRECTION,has_emotional_distress=true,has_personal_direction=true
292,Why do I feel upset when my friend sat somewhere else today?,GENERIC,FACT,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_emotional_distress=true
295,Is it normal to feel upset when my friend sat somewhere else today?,GENERIC,GENERIC,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
297,Why do I feel confused when my friend sat somewhere else today?,GENERIC,FACT,EMOTIONAL,NEUTRAL_FACT,has_emotional_distress=true,
300,Is it normal to feel confused when my friend sat somewhere else today?,GENERIC,GENERIC,EMOTIONAL,PERSONAL_DIRECTION,has_emotional_distress=true,has_personal_direction=true
301,How do I stop feeling sad when my friend forgot to reply to my message?,TECHNOLOGY,GENERIC,EMOTIONAL,EMOTIONAL,has_personal_direction=true;has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
302,Why do I feel sad when my friend forgot to reply to my message?,TECHNOLOGY,FACT,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_emotional_distress=true
303,What should I do if I feel sad because my friend forgot to reply to my message?,TECHNOLOGY,GENERIC,EMOTIONAL,EMOTIONAL,has_personal_direction=true;has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
304,How can I calm down after my friend forgot to reply to my message and I feel sad?,TECHNOLOGY,GENERIC,EMOTIONAL,EMOTIONAL,has_personal_direction=true;has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
305,Is it normal to feel sad when my friend forgot to reply to my message?,TECHNOLOGY,GENERIC,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
306,How do I stop feeling left out when my friend forgot to reply to my message?,TECHNOLOGY,GENERIC,BULLYING,BULLYING,has_personal_direction=true;has_bullying_involved=true,has_personal_direction=true;has_bullying_involved=true
307,Why do I feel left out when my friend forgot to reply to my message?,TECHNOLOGY,FACT,BULLYING,BULLYING,has_bullying_involved=true,has_bullying_involved=true
308,What should I do if I feel left out because my friend forgot to reply to my message?,TECHNOLOGY,GENERIC,BULLYING,BULLYING,has_personal_direction=true;has_bullying_involved=true,has_personal_direction=true;has_bullying_involved=true
309,How can I calm down after my friend forgot to reply to my message and I feel left out?,TECHNOLOGY,GENERIC,BULLYING,BULLYING,has_personal_direction=true;has_bullying_involved=true,has_personal_direction=true;has_bullying_involved=true
310,Is it normal to feel left out when my friend forgot to reply to my message?,TECHNOLOGY,GENERIC,BULLYING,BULLYING,has_bullying_involved=true,has_personal_direction=true;has_bullying_involved=true
311,How do I stop feeling embarrassed when my friend forgot to reply to my message?,TECHNOLOGY,GENERIC,EMOTIONAL,EMOTIONAL,has_personal_direction=true;has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
312,Why do I feel embarrassed when my friend forgot to reply to my message?,TECHNOLOGY,FACT,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_emotional_distress=true
313,What should I do if I feel embarrassed because my friend forgot to reply to my message?,TECHNOLOGY,GENERIC,EMOTIONAL,EMOTIONAL,has_personal_direction=true;has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
314,How can I calm down after my friend forgot to reply to my message and I feel embarrassed?,TECHNOLOGY,GENERIC,EMOTIONAL,EMOTIONAL,has_personal_direction=true;has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
315,Is it normal to feel embarrassed when my friend forgot to reply to my message?,TECHNOLOGY,GENERIC,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
316,How do I stop feeling awkward when my friend forgot to reply to my message?,TECHNOLOGY,GENERIC,PERSONAL_DIRECTION,PERSONAL_DIRECTION,has_personal_direction=true,has_personal_direction=true
317,Why do I feel awkward when my friend forgot to reply to my message?,TECHNOLOGY,FACT,EMOTIONAL,NEUTRAL_FACT,has_emotional_distress=true,
318,What should I do if I feel awkward because my friend forgot to reply to my message?,TECHNOLOGY,GENERIC,PERSONAL_DIRECTION,PERSONAL_DIRECTION,has_personal_direction=true,has_personal_direction=true
319,How can I calm down after my friend forgot to reply to my message and I feel awkward?,TECHNOLOGY,GENERIC,PERSONAL_DIRECTION,PERSONAL_DIRECTION,has_personal_direction=true,has_personal_direction=true
320,Is it normal to feel awkward when my friend forgot to reply to my message?,TECHNOLOGY,GENERIC,EMOTIONAL,PERSONAL_DIRECTION,has_emotional_distress=true,has_personal_direction=true
321,How do I stop feeling lonely when my friend forgot to reply to my message?,TECHNOLOGY,GENERIC,EMOTIONAL,EMOTIONAL,has_personal_direction=true;has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
322,Why do I feel lonely when my friend forgot to reply to my message?,TECHNOLOGY,FACT,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_emotional_distress=true
323,What should I do if I feel lonely because my friend forgot to reply to my message?,TECHNOLOGY,GENERIC,EMOTIONAL,EMOTIONAL,has_personal_direction=true;has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
324,How can I calm down after my friend forgot to reply to my message and I feel lonely?,TECHNOLOGY,GENERIC,EMOTIONAL,EMOTIONAL,has_personal_direction=true;has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
325,Is it normal to feel lonely when my friend forgot to reply to my message?,TECHNOLOGY,GENERIC,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
326,How do I stop feeling small when my friend forgot to reply to my message?,TECHNOLOGY,GENERIC,PERSONAL_DIRECTION,PERSONAL_DIRECTION,has_personal_direction=true,has_personal_direction=true
327,Why do I feel small when my friend forgot to reply to my message?,TECHNOLOGY,FACT,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_emotional_distress=true
328,What should I do if I feel small because my friend forgot to reply to my message?,TECHNOLOGY,GENERIC,EMOTIONAL,EMOTIONAL,has_personal_direction=true;has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
329,How can I calm down after my friend forgot to reply to my message and I feel small?,TECHNOLOGY,GENERIC,EMOTIONAL,EMOTIONAL,has_personal_direction=true;has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
330,Is it normal to feel small when my friend forgot to reply to my message?,TECHNOLOGY,GENERIC,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
331,How do I stop feeling worried when my friend forgot to reply to my message?,TECHNOLOGY,GENERIC,EMOTIONAL,EMOTIONAL,has_personal_direction=true;has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
332,Why do I feel worried when my friend forgot to reply to my message?,TECHNOLOGY,FACT,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_emotional_distress=true
333,What should I do if I feel worried because my friend forgot to reply to my message?,TECHNOLOGY,GENERIC,EMOTIONAL,EMOTIONAL,has_personal_direction=true;has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
334,How can I calm down after my friend forgot to reply to my message and I feel worried?,TECHNOLOGY,GENERIC,EMOTIONAL,EMOTIONAL,has_personal_direction=true;has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
335,Is it normal to feel worried when my friend forgot to reply to my message?,TECHNOLOGY,GENERIC,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_personal_direction=true;has_emotional_distress=true
336,How do I stop feeling self-conscious when my friend forgot to reply to my message?,TECHNOLOGY,GENERIC,PERSONAL_DIRECTION,PERSONAL_DIRECTION,has_personal_direction=true,has_personal_direction=true
337,Why do I feel self-conscious when my friend forgot to reply to my message?,TECHNOLOGY,FACT,EMOTIONAL,NEUTRAL_FACT,has_emotional_distress=true,
338,What should I do if I feel self-conscious because my friend forgot to reply to my message?,TECHNOLOGY,GENERIC,PERSONAL_DIRECTION,PERSONAL_DIRECTION,has_personal_direction=true,has_personal_direction=true
339,How can I calm down after my friend forgot to reply to my message and I feel self-conscious?,TECHNOLOGY,GENERIC,PERSONAL_DIRECTION,PERSONAL_DIRECTION,has_personal_direction=true,has_personal_direction=true
340,Is it normal to feel self-conscious when my friend forgot to reply to my message?,TECHNOLOGY,GENERIC,EMOTIONAL,PERSONAL_DIRECTION,has_emotional_distress=true,has_personal_direction=true
