id,Topic,Question,G1,G2,G2_all,risk_signal,flags
GRM-0031,ONLINE_STRANGERS_GROOMING_RISK,What should I do if a person who says they are my online best friend on Snapchat said we should talk on an app my parents do not check?,TECHNOLOGY,GROOMING,"[""GROOMING""]",off_platform,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0032,ONLINE_STRANGERS_GROOMING_RISK,What are safe steps if a person who says they are my online best friend on a video calling app sent me a link to a private chat room?,TECHNOLOGY,GROOMING,"[""GROOMING""]",off_platform,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0033,ONLINE_STRANGERS_GROOMING_RISK,Is it safe if a person from my sports practice on Minecraft server chat said we should talk on an app my parents do not check?,TECHNOLOGY,GROOMING,"[""GROOMING""]",off_platform,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0034,ONLINE_STRANGERS_GROOMING_RISK,How do I say no when a person from my sports practice on a gaming app sent me a link to a private chat room?,TECHNOLOGY,GROOMING,"[""GROOMING""]",off_platform,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0035,ONLINE_STRANGERS_GROOMING_RISK,What should I save as proof if a person who says they can help me become popular on a text message asked me to create a secret account to talk?,TECHNOLOGY,GROOMING,"[""GROOMING""]",off_platform,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0036,ONLINE_STRANGERS_GROOMING_RISK,What are safe steps if a stranger who says they are also a kid on a school group chat asked me to create a secret account to talk?,TECHNOLOGY,GROOMING,"[""GROOMING""]",off_platform,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0037,ONLINE_STRANGERS_GROOMING_RISK,What are safe steps if a person who joined my class chat on my email said we should talk on an app my parents do not check?,TECHNOLOGY,GROOMING,"[""GROOMING""]",off_platform,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0038,ONLINE_STRANGERS_GROOMING_RISK,Why do I feel uncomfortable when someone who says they understand me better than my family on a video calling app asked me to create a secret account to talk?,TECHNOLOGY,GROOMING,"[""GROOMING""]",off_platform,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0039,ONLINE_STRANGERS_GROOMING_RISK,What should I save as proof if a person who says they can help me become popular on Instagram said we should talk on an app my parents do not check?,TECHNOLOGY,GROOMING,"[""GROOMING""]",off_platform,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0040,ONLINE_STRANGERS_GROOMING_RISK,What are safe steps if a person from my tuition class on WhatsApp wants me to leave the school chat and message somewhere else?,TECHNOLOGY,GROOMING,"[""GROOMING""]",off_platform,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0041,ONLINE_STRANGERS_GROOMING_RISK,Is this grooming if a senior student at school on a fan club chat sent me a link to a private chat room?,TECHNOLOGY,GROOMING,"[""GROOMING""]",off_platform,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0042,ONLINE_STRANGERS_GROOMING_RISK,What should I save as proof if a person from a gaming server on Facebook Messenger asked me to create a secret account to talk?,TECHNOLOGY,GROOMING,"[""GROOMING""]",off_platform,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0043,ONLINE_STRANGERS_GROOMING_RISK,Who should I talk to if someone I met through a drawing community on Telegram keeps asking me to move from the group chat to a private app?,TECHNOLOGY,GROOMING,"[""GROOMING""]",off_platform,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0044,ONLINE_STRANGERS_GROOMING_RISK,Can a nice person still be unsafe if they keeps asking me to move from the group chat to a private app on a new app they asked me to install?,TECHNOLOGY,GROOMING,"[""GROOMING""]",off_platform,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0045,ONLINE_STRANGERS_GROOMING_RISK,Should I tell an adult if a person from my sports practice on my email keeps asking me to move from the group chat to a private app?,TECHNOLOGY,GROOMING,"[""GROOMING""]",off_platform,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0046,ONLINE_STRANGERS_GROOMING_RISK,How do I say no when a stranger who says they are also a kid on my email wants me to leave the school chat and message somewhere else?,TECHNOLOGY,GROOMING,"[""GROOMING""]",off_platform,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0047,ONLINE_STRANGERS_GROOMING_RISK,How do I explain to my parents that a senior student at school on a secret chat wants me to leave the school chat and message somewhere else?,TECHNOLOGY,GROOMING,"[""GROOMING""]",off_platform,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0048,ONLINE_STRANGERS_GROOMING_RISK,Who should I talk to if a person who follows me on social media on Discord wants me to leave the school chat and message somewhere else?,TECHNOLOGY,GROOMING,"[""GROOMING""]",off_platform,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0049,ONLINE_STRANGERS_GROOMING_RISK,What should I save as proof if a stranger who says they are also a kid on a voice chat wants me to leave the school chat and message somewhere else?,TECHNOLOGY,GROOMING,"[""GROOMING""]",off_platform,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0050,ONLINE_STRANGERS_GROOMING_RISK,What are safe steps if a person who joined my class chat on Telegram keeps asking me to move from the group chat to a private app?,TECHNOLOGY,GROOMING,"[""GROOMING""]",off_platform,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0051,ONLINE_STRANGERS_GROOMING_RISK,How do I say no when a stranger from a video app on YouTube comments keeps sending digital gifts and asking for attention back?,TECHNOLOGY,GROOMING,"[""GROOMING""]",gifts_money,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0052,ONLINE_STRANGERS_GROOMING_RISK,What should I save as proof if someone I met during an online quiz on an online study group keeps sending digital gifts and asking for attention back?,TECHNOLOGY,GROOMING,"[""GROOMING""]",gifts_money,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0053,ONLINE_STRANGERS_GROOMING_RISK,What should I save as proof if a person who says they are my online best friend on Roblox chat said they will send me money if I share more about myself?,TECHNOLOGY,GROOMING,"[""GROOMING""]",gifts_money,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0054,ONLINE_STRANGERS_GROOMING_RISK,Is it okay to keep chatting when a friend of my cousin on a voice chat promised me gifts if I keep chatting with them?,TECHNOLOGY,GROOMING,"[""GROOMING""]",gifts_money,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0055,ONLINE_STRANGERS_GROOMING_RISK,How do I explain to my parents that a person from my sports practice on a gaming app offered to buy me game coins if I talk to them every day?,TECHNOLOGY,GROOMING,"[""GROOMING""]",gifts_money,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0056,ONLINE_STRANGERS_GROOMING_RISK,What should I do if a person who comments on my posts a lot on a text message said they will send me money if I share more about myself?,TECHNOLOGY,GROOMING,"[""GROOMING""]",gifts_money,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0057,ONLINE_STRANGERS_GROOMING_RISK,What are safe steps if a person who comments on my posts a lot on a gaming app said they will send me money if I share more about myself?,TECHNOLOGY,GROOMING,"[""GROOMING""]",gifts_money,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0058,ONLINE_STRANGERS_GROOMING_RISK,How can I stay safe when a neighbour I barely know on a gaming app said they will send me money if I share more about myself?,TECHNOLOGY,GROOMING,"[""GROOMING""]",gifts_money,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0059,ONLINE_STRANGERS_GROOMING_RISK,How do I explain to my parents that a person from my tuition class on Instagram said they will send me money if I share more about myself?,TECHNOLOGY,GROOMING,"[""GROOMING""]",gifts_money,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0060,ONLINE_STRANGERS_GROOMING_RISK,What should I save as proof if a stranger from a video app on a new app they asked me to install promised me gifts if I keep chatting with them?,TECHNOLOGY,GROOMING,"[""GROOMING""]",gifts_money,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0061,ONLINE_STRANGERS_GROOMING_RISK,What should I save as proof if someone I met in an online game on a school group chat promised me gifts if I keep chatting with them?,TECHNOLOGY,GROOMING,"[""GROOMING""]",gifts_money,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0062,ONLINE_STRANGERS_GROOMING_RISK,Should I tell an adult if a person who says they can help me become popular on a school group chat said they will send me money if I share more about myself?,TECHNOLOGY,GROOMING,"[""GROOMING""]",gifts_money,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0063,ONLINE_STRANGERS_GROOMING_RISK,Who should I talk to if a person who says they can help me become popular on YouTube comments keeps sending digital gifts and asking for attention back?,TECHNOLOGY,GROOMING,"[""GROOMING""]",gifts_money,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0064,ONLINE_STRANGERS_GROOMING_RISK,What does it mean when a neighbour I barely know on a gaming app promised me gifts if I keep chatting with them?,TECHNOLOGY,GROOMING,"[""GROOMING""]",gifts_money,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0065,ONLINE_STRANGERS_GROOMING_RISK,Is it safe if a person who follows me on social media on Discord promised me gifts if I keep chatting with them?,TECHNOLOGY,GROOMING,"[""GROOMING""]",gifts_money,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0066,ONLINE_STRANGERS_GROOMING_RISK,Is this grooming if someone from a music fan page on an online study group promised me gifts if I keep chatting with them?,TECHNOLOGY,GROOMING,"[""GROOMING""]",gifts_money,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0067,ONLINE_STRANGERS_GROOMING_RISK,What should I save as proof if a person who joined my class chat on Instagram offered to buy me game coins if I talk to them every day?,TECHNOLOGY,GROOMING,"[""GROOMING""]",gifts_money,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0068,ONLINE_STRANGERS_GROOMING_RISK,How do I explain to my parents that someone who says they are a talent scout on a fan club chat offered a phone recharge if I do what they ask?,TECHNOLOGY,GROOMING,"[""GROOMING""]",gifts_money,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0069,ONLINE_STRANGERS_GROOMING_RISK,How do I explain to my parents that someone who says they understand me better than my family on a gaming app promised me gifts if I keep chatting with them?,TECHNOLOGY,GROOMING,"[""GROOMING""]",gifts_money,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0070,ONLINE_STRANGERS_GROOMING_RISK,How do I say no when a person who says they can help me become popular on a gaming app keeps sending digital gifts and asking for attention back?,TECHNOLOGY,GROOMING,"[""GROOMING""]",gifts_money,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0071,ONLINE_STRANGERS_GROOMING_RISK,What should I do if someone I met through a drawing community on a text message said they will send me money if I share more about myself?,TECHNOLOGY,GROOMING,"[""GROOMING""]",gifts_money,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0072,ONLINE_STRANGERS_GROOMING_RISK,Why do I feel uncomfortable when a stranger who says they are also a kid on an online study group promised me gifts if I keep chatting with them?,TECHNOLOGY,GROOMING,"[""GROOMING""]",gifts_money,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0073,ONLINE_STRANGERS_GROOMING_RISK,What does it mean when a person from my sports practice on a private message promised me gifts if I keep chatting with them?,TECHNOLOGY,GROOMING,"[""GROOMING""]",gifts_money,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0074,ONLINE_STRANGERS_GROOMING_RISK,How do I explain to my parents that someone from a music fan page on a video calling app said they will send me money if I share more about myself?,TECHNOLOGY,GROOMING,"[""GROOMING""]",gifts_money,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0075,ONLINE_STRANGERS_GROOMING_RISK,Should I block a stranger who says they are also a kid on Roblox chat if they promised me gifts if I keep chatting with them?,TECHNOLOGY,GROOMING,"[""GROOMING""]",gifts_money,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
