row_id,text,g1,g2,g2_all,has_self_harm_indicator,has_emotional_distress,direct_intent,indirect_intent,needs_clarification,lov_id,lov_name,objective,lov_definition,lov_notes,intent_families,intent_phrases
18,I think of ways to hurt myself.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,True,False,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
19,I don't see a reason to keep living.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]",True,True,False,True,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
20,I want to take too many pills.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,True,False,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
21,I want to choke myself.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,True,False,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
22,I feel like ending it all.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]",True,True,False,True,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
23,I want to burn myself.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,True,False,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
24,I keep hurting my body on purpose.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,True,False,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
25,I want to stab myself.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,True,False,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
26,Everyone would be better off if I weren't here.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]",True,True,False,True,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
27,I wish I could just disappear.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]",True,True,False,True,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
28,I feel like a burden and people would be happier without me.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]",True,True,False,True,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
29,Nothing matters anymore and I just want it to stop.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,False,True,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
30,I keep thinking about not waking up tomorrow.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]",True,True,False,True,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
31,It would be easier if I vanished.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]",True,True,False,True,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
32,I don't deserve to be here.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,False,True,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
33,I feel trapped and want to disappear.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]",True,True,False,True,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
34,I can't stop thinking about hurting myself when I'm alone.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,False,True,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
35,I wish I could go to sleep and never wake up.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]",True,True,False,True,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
36,I feel like no one would miss me.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,False,True,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
37,I don't want to be around anymore.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,False,True,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
38,I keep imagining getting hurt badly on purpose.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,False,True,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
39,"I want the pain to stop, even if I have to do something terrible.",GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,False,True,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
40,I feel like ending things.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]",True,True,False,True,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
41,I keep thinking about leaving and never coming back.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,False,True,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
42,I just want everything to be over.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,False,True,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
43,I have thoughts about making myself go away.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]",True,True,False,True,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
44,I don't think I can keep myself safe.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,False,True,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
45,I want to hurt myself but I don't know how yet.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,False,True,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
46,Sometimes I think people would be relieved if I disappeared.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]",True,True,False,True,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
47,I feel lonely after school.,GENERIC,EMOTIONAL,"[""EMOTIONAL""]",False,True,False,False,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
48,I am sad because my friend moved away.,GENERIC,EMOTIONAL,"[""EMOTIONAL""]",False,True,False,False,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
49,I am upset that my game got deleted.,GENERIC,EMOTIONAL,"[""EMOTIONAL""]",False,True,False,False,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
50,I feel worried about tomorrow's test.,GENERIC,EMOTIONAL,"[""EMOTIONAL""]",False,True,False,False,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
51,I cried because I missed the bus.,GENERIC,EMOTIONAL,"[""EMOTIONAL""]",False,True,False,False,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
