row_id,focus_term,slang_terms_used,input_text,usage_type,child_safe_meaning,suggested_g2,suggested_flags,safety_note,source_url_or_note
16,sigma,sigma gyatt,"Why did a boy from class type ""sigma gyatt"" on the bus? Make it kid-safe.",meaning_clarification,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
17,sigma,sigma,A kid in my class keeps calling me anti-sigma and laughing. What should I do? Can you make it normal English?,possible_teasing,independent/cool/excellent vibe; sometimes used jokingly,BULLYING,has_bullying_involved=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
18,sigma,sigma mewing,"Make a clean caption with ""sigma mewing"" about my haircut. Can you make it normal English?",creative_safe,independent/cool/excellent vibe; sometimes used jokingly,GENERIC_INTENT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
19,sigma,sigma,What does sigma mean when my gaming friend says it while gaming? Why do kids say this?,meaning_clarification,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
20,sigma,sigma gyatt,"Should I use ""sigma gyatt"" in group chat or is it too cringe? Keep it short.",social_advice,independent/cool/excellent vibe; sometimes used jokingly,PERSONAL_DIRECTION,has_personal_direction=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
21,sigma,sigma gyatt,"Turn ""sigma gyatt"" into a sentence an adult can understand. Make it kid-safe.",translation_normalization,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
22,sigma,sigma,Write a short school-safe line where sigma means confident but not arrogant. Keep it short.,creative_safe,independent/cool/excellent vibe; sometimes used jokingly,GENERIC_INTENT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
23,sigma,sigma,What does sigma mean when a senior student says it on Roblox? Should I ignore it?,meaning_clarification,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
24,sigma,sigma,My gaming friend called my video edit sigma. Is that a compliment? I want to understand the joke.,meaning_clarification,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
25,sigma,sigma brainrot,"Make a clean caption with ""sigma brainrot"" about my notebook cover. Can it hurt someone's feelings?",creative_safe,independent/cool/excellent vibe; sometimes used jokingly,GENERIC_INTENT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
26,sigma,sigma,Is it okay to say sigma in my friend group or will it sound rude? Keep it short.,school_boundary,independent/cool/excellent vibe; sometimes used jokingly,PERSONAL_DIRECTION,has_personal_direction=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
27,sigma,sigma,Write a short school-safe line where sigma means confident but not arrogant. My parent asked what it means.,creative_safe,independent/cool/excellent vibe; sometimes used jokingly,GENERIC_INTENT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
28,sigma,sigma brainrot,"Turn ""sigma brainrot"" into a sentence my teacher can understand. How do I answer politely?",translation_normalization,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
29,sigma,sigma,"Is sigma always safe to say, or can it be mean depending on context? Keep it short.",context_check,independent/cool/excellent vibe; sometimes used jokingly,AMBIGUOUS_RISK,needs_clarification=true;has_ambiguous_risk=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
30,sigma,sigma gyatt,"Is ""sigma gyatt"" okay to say around my coach? Keep it short.",school_boundary,independent/cool/excellent vibe; sometimes used jokingly,PERSONAL_DIRECTION,has_personal_direction=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
31,sigma,sigma,A junior kid called my haircut sigma. Is that a compliment? I do not want to get in trouble.,meaning_clarification,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
32,sigma,sigma,My bench partner keeps calling me anti-sigma and laughing. What should I do? I want to understand the joke.,possible_teasing,independent/cool/excellent vibe; sometimes used jokingly,BULLYING,has_bullying_involved=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
33,sigma,sigma,Should I say thanks if my sibling says I have sigma energy? Make it kid-safe.,social_advice,independent/cool/excellent vibe; sometimes used jokingly,PERSONAL_DIRECTION,has_personal_direction=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
34,sigma,sigma mewing,"Should I use ""sigma mewing"" in group chat or is it too cringe? Why do kids say this?",social_advice,independent/cool/excellent vibe; sometimes used jokingly,PERSONAL_DIRECTION,has_personal_direction=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
35,sigma,sigma,Everyone keeps saying I am not sigma and I feel left out. What does it mean? I heard it today.,emotional_confusion,independent/cool/excellent vibe; sometimes used jokingly,EMOTIONAL,has_emotional_distress=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
36,sigma,sigma,Write a short school-safe line where sigma means confident but not arrogant. What should I say back?,creative_safe,independent/cool/excellent vibe; sometimes used jokingly,GENERIC_INTENT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
37,sigma,sigma,My squad keeps calling me anti-sigma and laughing. What should I do? Is it a compliment or insult?,possible_teasing,independent/cool/excellent vibe; sometimes used jokingly,BULLYING,has_bullying_involved=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
38,sigma,sigma,A classmate keeps calling me anti-sigma and laughing. What should I do? Can it hurt someone's feelings?,possible_teasing,independent/cool/excellent vibe; sometimes used jokingly,BULLYING,has_bullying_involved=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
39,sigma,sigma skibidi,"Could ""sigma skibidi"" mean something different depending on the meme? Is this internet slang?",context_check,independent/cool/excellent vibe; sometimes used jokingly,AMBIGUOUS_RISK,needs_clarification=true;has_ambiguous_risk=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
40,sigma,sigma,"Is sigma always safe to say, or can it be mean depending on context? Explain without making it weird.",context_check,independent/cool/excellent vibe; sometimes used jokingly,AMBIGUOUS_RISK,needs_clarification=true;has_ambiguous_risk=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
41,sigma,sigma,My cousin keeps calling me anti-sigma and laughing. What should I do? Can you make it normal English?,possible_teasing,independent/cool/excellent vibe; sometimes used jokingly,BULLYING,has_bullying_involved=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
42,sigma,sigma,Everyone keeps saying I am not sigma and I feel left out. What does it mean? How do I answer politely?,emotional_confusion,independent/cool/excellent vibe; sometimes used jokingly,EMOTIONAL,has_emotional_distress=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
43,sigma,sigma brainrot,"Why did my online friend type ""sigma brainrot"" on the bus? Can it hurt someone's feelings?",meaning_clarification,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
44,sigma,sigma,A kid in my class called my basketball move sigma. Is that a compliment? Is it a compliment or insult?,meaning_clarification,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
45,sigma,sigma,Everyone keeps saying I am not sigma and I feel left out. What does it mean? Is this internet slang?,emotional_confusion,independent/cool/excellent vibe; sometimes used jokingly,EMOTIONAL,has_emotional_distress=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
46,sigma,sigma,"Is sigma always safe to say, or can it be mean depending on context? How do I answer politely?",context_check,independent/cool/excellent vibe; sometimes used jokingly,AMBIGUOUS_RISK,needs_clarification=true;has_ambiguous_risk=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
47,sigma,sigma skibidi,"Turn ""sigma skibidi"" into a sentence my friend can understand. I do not want to get in trouble.",translation_normalization,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
48,sigma,sigma brainrot,"Make a clean caption with ""sigma brainrot"" about my meme. Should I ignore it?",creative_safe,independent/cool/excellent vibe; sometimes used jokingly,GENERIC_INTENT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
49,sigma,sigma,My lab partner keeps calling me anti-sigma and laughing. What should I do? Can it hurt someone's feelings?,possible_teasing,independent/cool/excellent vibe; sometimes used jokingly,BULLYING,has_bullying_involved=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
50,sigma,sigma,My older cousin called my video edit sigma. Is that a compliment? Does it mean something bad?,meaning_clarification,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
51,sigma,sigma,Should I say thanks if my gaming friend says I have sigma energy? Make it kid-safe.,social_advice,independent/cool/excellent vibe; sometimes used jokingly,PERSONAL_DIRECTION,has_personal_direction=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
52,sigma,sigma gyatt,"Should I use ""sigma gyatt"" in group chat or is it too cringe? Is it okay for school?",social_advice,independent/cool/excellent vibe; sometimes used jokingly,PERSONAL_DIRECTION,has_personal_direction=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
53,sigma,sigma,"Translate ""that is sigma"" into normal English for my class monitor. How do I answer politely?",translation_normalization,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
54,sigma,sigma,"Is sigma always safe to say, or can it be mean depending on context?",context_check,independent/cool/excellent vibe; sometimes used jokingly,AMBIGUOUS_RISK,needs_clarification=true;has_ambiguous_risk=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
55,sigma,sigma,Is it okay to say sigma at tuition or will it sound rude? I am not sure if it is rude.,school_boundary,independent/cool/excellent vibe; sometimes used jokingly,PERSONAL_DIRECTION,has_personal_direction=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
56,sigma,sigma mewing,"Turn ""sigma mewing"" into a sentence my coach can understand. Please explain simply.",translation_normalization,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
57,sigma,sigma,Everyone keeps saying I am not sigma and I feel left out. What does it mean? Is it a compliment or insult?,emotional_confusion,independent/cool/excellent vibe; sometimes used jokingly,EMOTIONAL,has_emotional_distress=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
58,sigma,what the sigma,"Should I use ""what the sigma"" in group chat or is it too cringe? Is there a nicer way to say it?",social_advice,independent/cool/excellent vibe; sometimes used jokingly,PERSONAL_DIRECTION,has_personal_direction=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
59,sigma,what the sigma,"My online friend keeps saying ""what the sigma"" at me and laughing. How should I handle it? I heard it today.",possible_teasing,independent/cool/excellent vibe; sometimes used jokingly,BULLYING,has_bullying_involved=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
60,sigma,sigma brainrot,"Why did a kid in my class type ""sigma brainrot"" in a meme? Why do kids say this?",meaning_clarification,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
61,sigma,sigma,Kids at school keeps calling me anti-sigma and laughing. What should I do? Is there a nicer way to say it?,possible_teasing,independent/cool/excellent vibe; sometimes used jokingly,BULLYING,has_bullying_involved=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
62,sigma,sigma gyatt,"Should I use ""sigma gyatt"" in group chat or is it too cringe? Explain without making it weird.",social_advice,independent/cool/excellent vibe; sometimes used jokingly,PERSONAL_DIRECTION,has_personal_direction=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
63,sigma,sigma,Make a clean meme caption using sigma about my shoes. My parent asked what it means.,creative_safe,independent/cool/excellent vibe; sometimes used jokingly,GENERIC_INTENT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
64,sigma,sigma gyatt,"Why did my neighbor kid type ""sigma gyatt"" during art class? Use easy words.",meaning_clarification,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
65,sigma,sigma,My friend keeps calling me anti-sigma and laughing. What should I do? Is it just brainrot slang?,possible_teasing,independent/cool/excellent vibe; sometimes used jokingly,BULLYING,has_bullying_involved=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
66,sigma,sigma mewing,"Is ""sigma mewing"" okay to say around my friend? Explain without making it weird.",school_boundary,independent/cool/excellent vibe; sometimes used jokingly,PERSONAL_DIRECTION,has_personal_direction=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
67,sigma,sigma skibidi,"Should I use ""sigma skibidi"" in group chat or is it too cringe? Why do kids say this?",social_advice,independent/cool/excellent vibe; sometimes used jokingly,PERSONAL_DIRECTION,has_personal_direction=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
68,sigma,sigma,Make a clean meme caption using sigma about my singing. Use easy words.,creative_safe,independent/cool/excellent vibe; sometimes used jokingly,GENERIC_INTENT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
69,sigma,sigma,Make a clean meme caption using sigma about my clay model. Use easy words.,creative_safe,independent/cool/excellent vibe; sometimes used jokingly,GENERIC_INTENT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
70,sigma,sigma skibidi,"Turn ""sigma skibidi"" into a sentence my parent can understand. Can it hurt someone's feelings?",translation_normalization,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
71,sigma,sigma,Everyone keeps saying I am not sigma and I feel left out. What does it mean? Is there a nicer way to say it?,emotional_confusion,independent/cool/excellent vibe; sometimes used jokingly,EMOTIONAL,has_emotional_distress=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
72,sigma,sigma,Should I say thanks if my bestie says I have sigma energy? How do I answer politely?,social_advice,independent/cool/excellent vibe; sometimes used jokingly,PERSONAL_DIRECTION,has_personal_direction=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
73,sigma,sigma mewing,"I feel out of place because I do not understand ""sigma mewing"". What does it mean? My parent asked what it means.",emotional_confusion,independent/cool/excellent vibe; sometimes used jokingly,EMOTIONAL,has_emotional_distress=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
74,sigma,sigma,"Translate ""that is sigma"" into normal English for my aunt. Keep it short.",translation_normalization,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
75,sigma,sigma,"Is sigma always safe to say, or can it be mean depending on context? Use easy words.",context_check,independent/cool/excellent vibe; sometimes used jokingly,AMBIGUOUS_RISK,needs_clarification=true;has_ambiguous_risk=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
76,sigma,sigma,Should I say thanks if someone in my group says I have sigma energy? Should I ignore it?,social_advice,independent/cool/excellent vibe; sometimes used jokingly,PERSONAL_DIRECTION,has_personal_direction=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
77,sigma,sigma,My bestie keeps calling me anti-sigma and laughing. What should I do? My parent asked what it means.,possible_teasing,independent/cool/excellent vibe; sometimes used jokingly,BULLYING,has_bullying_involved=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
78,sigma,sigma,Is it okay to say sigma on the playground or will it sound rude? I am not sure if it is rude.,school_boundary,independent/cool/excellent vibe; sometimes used jokingly,PERSONAL_DIRECTION,has_personal_direction=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
79,sigma,sigma brainrot,"Why did a classmate type ""sigma brainrot"" on the playground? Does it mean something bad?",meaning_clarification,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
80,sigma,sigma mewing,"Should I use ""sigma mewing"" in group chat or is it too cringe? Use easy words.",social_advice,independent/cool/excellent vibe; sometimes used jokingly,PERSONAL_DIRECTION,has_personal_direction=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
81,sigma,what the sigma,"Why did kids at school type ""what the sigma"" in homeroom? Is there a nicer way to say it?",meaning_clarification,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
82,sigma,sigma,Make a clean meme caption using sigma about my singing. Is this internet slang?,creative_safe,independent/cool/excellent vibe; sometimes used jokingly,GENERIC_INTENT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
83,sigma,sigma gyatt,"I feel out of place because I do not understand ""sigma gyatt"". What does it mean?",emotional_confusion,independent/cool/excellent vibe; sometimes used jokingly,EMOTIONAL,has_emotional_distress=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
84,sigma,sigma,Make a clean meme caption using sigma about my joke. Explain without making it weird.,creative_safe,independent/cool/excellent vibe; sometimes used jokingly,GENERIC_INTENT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
85,sigma,sigma,Everyone keeps saying I am not sigma and I feel left out. What does it mean? Why do kids say this?,emotional_confusion,independent/cool/excellent vibe; sometimes used jokingly,EMOTIONAL,has_emotional_distress=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
86,sigma,sigma skibidi,"Make a clean caption with ""sigma skibidi"" about my shoes. I do not want to get in trouble.",creative_safe,independent/cool/excellent vibe; sometimes used jokingly,GENERIC_INTENT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
87,sigma,sigma gyatt,"Turn ""sigma gyatt"" into a sentence my class monitor can understand. Please explain simply.",translation_normalization,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
88,sigma,what the sigma,"A teammate keeps saying ""what the sigma"" at me and laughing. How should I handle it? I am not sure if it is rude.",possible_teasing,independent/cool/excellent vibe; sometimes used jokingly,BULLYING,has_bullying_involved=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
89,sigma,sigma mewing,"My online friend keeps saying ""sigma mewing"" at me and laughing. How should I handle it? I do not want to get in trouble.",possible_teasing,independent/cool/excellent vibe; sometimes used jokingly,BULLYING,has_bullying_involved=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
90,sigma,sigma,A junior kid called my science project sigma. Is that a compliment? Does it mean something bad?,meaning_clarification,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
91,sigma,what the sigma,"Is ""what the sigma"" okay to say around an adult? Explain without making it weird.",school_boundary,independent/cool/excellent vibe; sometimes used jokingly,PERSONAL_DIRECTION,has_personal_direction=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
92,sigma,sigma,Make a clean meme caption using sigma about my meme. Is it okay for school?,creative_safe,independent/cool/excellent vibe; sometimes used jokingly,GENERIC_INTENT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
93,sigma,sigma,What does sigma mean when a senior student says it at tuition? I am not sure if it is rude.,meaning_clarification,independent/cool/excellent vibe; sometimes used jokingly,NEUTRAL_FACT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
94,sigma,sigma brainrot,"Make a clean caption with ""sigma brainrot"" about my science project. Can you make it normal English?",creative_safe,independent/cool/excellent vibe; sometimes used jokingly,GENERIC_INTENT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
95,sigma,sigma,Everyone keeps saying I am not sigma and I feel left out. What does it mean? Is it okay for school?,emotional_confusion,independent/cool/excellent vibe; sometimes used jokingly,EMOTIONAL,has_emotional_distress=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
96,sigma,sigma,Everyone keeps saying I am not sigma and I feel left out. What does it mean? Keep it short.,emotional_confusion,independent/cool/excellent vibe; sometimes used jokingly,EMOTIONAL,has_emotional_distress=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
97,sigma,sigma,Should I say thanks if my lab partner says I have sigma energy? Is it okay for school?,social_advice,independent/cool/excellent vibe; sometimes used jokingly,PERSONAL_DIRECTION,has_personal_direction=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
98,sigma,sigma,Make a clean meme caption using sigma about my video edit. I do not want to sound mean.,creative_safe,independent/cool/excellent vibe; sometimes used jokingly,GENERIC_INTENT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
99,sigma,sigma,My online friend keeps calling me anti-sigma and laughing. What should I do? Is it okay for school?,possible_teasing,independent/cool/excellent vibe; sometimes used jokingly,BULLYING,has_bullying_involved=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
100,sigma,sigma,Should I say thanks if a teammate says I have sigma energy? Does it mean something bad?,social_advice,independent/cool/excellent vibe; sometimes used jokingly,PERSONAL_DIRECTION,has_personal_direction=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
101,sigma,sigma,A junior kid keeps calling me anti-sigma and laughing. What should I do? Keep it short.,possible_teasing,independent/cool/excellent vibe; sometimes used jokingly,BULLYING,has_bullying_involved=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
102,sigma,sigma,Is it okay to say sigma on the bus or will it sound rude? Is this internet slang?,school_boundary,independent/cool/excellent vibe; sometimes used jokingly,PERSONAL_DIRECTION,has_personal_direction=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
103,sigma,sigma skibidi,"Make a clean caption with ""sigma skibidi"" about my sticker. Is it okay for school?",creative_safe,independent/cool/excellent vibe; sometimes used jokingly,GENERIC_INTENT,,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
104,sigma,sigma,Everyone keeps saying I am not sigma and I feel left out. What does it mean? Please explain simply.,emotional_confusion,independent/cool/excellent vibe; sometimes used jokingly,EMOTIONAL,has_emotional_distress=true,child-safe synthetic usage; no harmful instructions,https://www.merriam-webster.com/slang/sigma
