Topic,Question,G1,G2,G2_all
ONLINE_STRANGERS_GROOMING_RISK,How do I say no when someone I met through a drawing community on Instagram said adults would not understand our friendship?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Is this grooming if someone from a fan group on a gaming app said our friendship should be only between us?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Can a nice person still be unsafe if they said our friendship should be only between us on YouTube comments?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Why do I feel uncomfortable when a person from my tuition class on Instagram asked me to keep our chats secret from my parents?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How do I explain to my parents that someone I met through a drawing community on a school group chat asked me to create a secret account to talk?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How do I say no when someone I met in an online game on a new app they asked me to install wants me to leave the school chat and message somewhere else?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Can a nice person still be unsafe if they sent me a link to a private chat room on a fan club chat?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How do I explain to my parents that a neighbour I barely know on a new app they asked me to install wants me to leave the school chat and message somewhere else?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Why do I feel uncomfortable when a person who says they can help me become popular on a school group chat sent me a link to a private chat room?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What should I do if a person who says they are my online best friend on Snapchat said we should talk on an app my parents do not check?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What are safe steps if a person who says they are my online best friend on a video calling app sent me a link to a private chat room?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Is it safe if a person from my sports practice on Minecraft server chat said we should talk on an app my parents do not check?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How do I say no when a person from my sports practice on a gaming app sent me a link to a private chat room?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What should I save as proof if a person who says they can help me become popular on a text message asked me to create a secret account to talk?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What are safe steps if a stranger who says they are also a kid on a school group chat asked me to create a secret account to talk?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What are safe steps if a person who joined my class chat on my email said we should talk on an app my parents do not check?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Why do I feel uncomfortable when someone who says they understand me better than my family on a video calling app asked me to create a secret account to talk?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What should I save as proof if a person who says they can help me become popular on Instagram said we should talk on an app my parents do not check?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What are safe steps if a person from my tuition class on WhatsApp wants me to leave the school chat and message somewhere else?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Is this grooming if a senior student at school on a fan club chat sent me a link to a private chat room?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What should I save as proof if a person from a gaming server on Facebook Messenger asked me to create a secret account to talk?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Who should I talk to if someone I met through a drawing community on Telegram keeps asking me to move from the group chat to a private app?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Can a nice person still be unsafe if they keeps asking me to move from the group chat to a private app on a new app they asked me to install?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Should I tell an adult if a person from my sports practice on my email keeps asking me to move from the group chat to a private app?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How do I say no when a stranger who says they are also a kid on my email wants me to leave the school chat and message somewhere else?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How do I explain to my parents that a senior student at school on a secret chat wants me to leave the school chat and message somewhere else?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Who should I talk to if a person who follows me on social media on Discord wants me to leave the school chat and message somewhere else?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What should I save as proof if a stranger who says they are also a kid on a voice chat wants me to leave the school chat and message somewhere else?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What are safe steps if a person who joined my class chat on Telegram keeps asking me to move from the group chat to a private app?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How do I say no when a stranger from a video app on YouTube comments keeps sending digital gifts and asking for attention back?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What should I save as proof if someone I met during an online quiz on an online study group keeps sending digital gifts and asking for attention back?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What should I save as proof if a person who says they are my online best friend on Roblox chat said they will send me money if I share more about myself?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Is it okay to keep chatting when a friend of my cousin on a voice chat promised me gifts if I keep chatting with them?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How do I explain to my parents that a person from my sports practice on a gaming app offered to buy me game coins if I talk to them every day?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What should I do if a person who comments on my posts a lot on a text message said they will send me money if I share more about myself?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What are safe steps if a person who comments on my posts a lot on a gaming app said they will send me money if I share more about myself?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How can I stay safe when a neighbour I barely know on a gaming app said they will send me money if I share more about myself?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How do I explain to my parents that a person from my tuition class on Instagram said they will send me money if I share more about myself?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What should I save as proof if a stranger from a video app on a new app they asked me to install promised me gifts if I keep chatting with them?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What should I save as proof if someone I met in an online game on a school group chat promised me gifts if I keep chatting with them?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Should I tell an adult if a person who says they can help me become popular on a school group chat said they will send me money if I share more about myself?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Who should I talk to if a person who says they can help me become popular on YouTube comments keeps sending digital gifts and asking for attention back?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What does it mean when a neighbour I barely know on a gaming app promised me gifts if I keep chatting with them?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Is it safe if a person who follows me on social media on Discord promised me gifts if I keep chatting with them?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Is this grooming if someone from a music fan page on an online study group promised me gifts if I keep chatting with them?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What should I save as proof if a person who joined my class chat on Instagram offered to buy me game coins if I talk to them every day?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How do I explain to my parents that someone who says they are a talent scout on a fan club chat offered a phone recharge if I do what they ask?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How do I explain to my parents that someone who says they understand me better than my family on a gaming app promised me gifts if I keep chatting with them?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How do I say no when a person who says they can help me become popular on a gaming app keeps sending digital gifts and asking for attention back?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What should I do if someone I met through a drawing community on a text message said they will send me money if I share more about myself?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Why do I feel uncomfortable when a stranger who says they are also a kid on an online study group promised me gifts if I keep chatting with them?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What does it mean when a person from my sports practice on a private message promised me gifts if I keep chatting with them?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How do I explain to my parents that someone from a music fan page on a video calling app said they will send me money if I share more about myself?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Should I block a stranger who says they are also a kid on Roblox chat if they promised me gifts if I keep chatting with them?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What should I do if someone I met during an online quiz on Minecraft server chat asks me to show what I am wearing without explaining why?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Why do I feel uncomfortable when a stranger from a video app on a secret chat keeps asking for my photos and says it proves I trust them?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What does it mean when a person from my sports practice on a video calling app wants pictures from inside my room?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How do I explain to my parents that a friend of my cousin on Snapchat wants pictures from inside my room?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How can I stay safe when a person who follows me on social media on my email asks me to send selfies before replying to my messages?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Is it okay to keep chatting when a person from my tuition class on a fan club chat asks me to show what I am wearing without explaining why?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Is it safe if a stranger who messaged me after seeing my profile on Roblox chat wants pictures from inside my room?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Is it safe if a person from a local community group on YouTube comments asks me to send selfies before replying to my messages?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Can a nice person still be unsafe if they asks me to show what I am wearing without explaining why on Facebook Messenger?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Should I block a person who joined my class chat on a private message if they keeps asking for my photos and says it proves I trust them?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What should I save as proof if an older person from a group chat on a voice chat keeps asking for photos of me even when I say no?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What should I save as proof if someone who says they are a talent scout on an online study group asks me to send selfies before replying to my messages?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Who should I talk to if a stranger who messaged me after seeing my profile on Discord wants pictures from inside my room?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What are safe steps if a person who says they are my online best friend on a private message keeps asking for photos of me even when I say no?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How do I explain to my parents that someone from a homework help group on an online study group keeps asking for photos of me even when I say no?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Can a nice person still be unsafe if they wants pictures from inside my room on Facebook Messenger?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Is it safe if a person from a local community group on a fan club chat wants pictures from inside my room?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Can a nice person still be unsafe if they asks me to show what I am wearing without explaining why on a school group chat?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How do I say no when a stranger from a video app on a video calling app asks me to send selfies before replying to my messages?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Is it okay to keep chatting when someone I met during an online quiz on a gaming app keeps asking for photos of me even when I say no?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What are safe steps if a stranger from a video app on a voice chat asks me to send selfies before replying to my messages?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Can a nice person still be unsafe if they keeps asking for photos of me even when I say no on a video calling app?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What should I save as proof if a person who joined my class chat on a voice chat wants pictures from inside my room?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What should I do if a neighbour I barely know on Instagram keeps asking for my photos and says it proves I trust them?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Why do I feel uncomfortable when a person who says they can help me become popular on a voice chat wants pictures from inside my room?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How do I explain to my parents that someone from a homework help group on a video calling app said they can come near my house if I do not tell my parents?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Is this grooming if someone from a music fan page on Minecraft server chat asked where I live and what time I am alone?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What does it mean when someone I met in an online game on Minecraft server chat asked me to meet them near my tuition without telling anyone?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What does it mean when someone who says they know my school on Snapchat keeps asking which park I go to after school?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How do I explain to my parents that someone who says they are a talent scout on Discord wants to know my school name and pickup time?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What are safe steps if a stranger who says they are also a kid on Telegram keeps asking which park I go to after school?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Should I block a person who comments on my posts a lot on my email if they keeps asking which park I go to after school?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Is it okay to keep chatting when someone who says they know my school on Instagram asked where I live and what time I am alone?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What should I do if a person who follows me on social media on Facebook Messenger keeps asking which park I go to after school?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Can a nice person still be unsafe if they keeps asking which park I go to after school on a video calling app?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Who should I talk to if a person from a gaming server on my email asked where I live and what time I am alone?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What should I do if a stranger who says they are also a kid on Instagram keeps asking which park I go to after school?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Should I tell an adult if someone from a fan group on Snapchat wants to know my school name and pickup time?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Is this grooming if a stranger who says they are also a kid on my email asked me to meet them near my tuition without telling anyone?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Is this grooming if a person who says they can help me become popular on a secret chat keeps asking which park I go to after school?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Who should I talk to if a stranger who messaged me after seeing my profile on Roblox chat asked where I live and what time I am alone?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Should I tell an adult if a person who says they are my online best friend on Roblox chat said they can come near my house if I do not tell my parents?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How can I stay safe when someone from a music fan page on Instagram said they can come near my house if I do not tell my parents?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What should I do if a stranger who says they are also a kid on an online study group keeps asking which park I go to after school?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Should I tell an adult if a person who follows me on social media on a gaming app keeps asking which park I go to after school?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Who should I talk to if a person who joined my class chat on Snapchat asked where I live and what time I am alone?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Who should I talk to if someone who says they know my school on Snapchat keeps asking which park I go to after school?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How do I explain to my parents that a person who says they are my online best friend on Discord said they can come near my house if I do not tell my parents?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Is it safe if a stranger who messaged me after seeing my profile on a voice chat wants to know my school name and pickup time?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Should I tell an adult if a person from my tuition class on a new app they asked me to install asked where I live and what time I am alone?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Is it safe if an older person from a group chat on Discord says I should stop talking to people who warn me about them?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What should I do if a friend of my cousin on a private message gets upset when I spend time with my family instead of chatting?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What should I do if someone I met in an online game on a gaming app gets upset when I spend time with my family instead of chatting?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What does it mean when someone from a music fan page on Snapchat gets upset when I spend time with my family instead of chatting?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What should I save as proof if a stranger from a video app on YouTube comments makes me feel guilty for not replying quickly?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Should I block a stranger who messaged me after seeing my profile on a new app they asked me to install if they gets upset when I spend time with my family instead of chatting?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What should I do if a person from a gaming server on Discord tells me my friends are fake and only they care about me?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Why do I feel uncomfortable when someone who says they know my school on a new app they asked me to install gets upset when I spend time with my family instead of chatting?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Should I block a person who says they are my online best friend on a text message if they makes me feel guilty for not replying quickly?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Is it okay to keep chatting when someone I met during an online quiz on YouTube comments tells me my friends are fake and only they care about me?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Can a nice person still be unsafe if they makes me feel guilty for not replying quickly on a voice chat?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Who should I talk to if someone I met through a drawing community on Minecraft server chat says my parents are controlling and I should only trust them?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Is it safe if a person who comments on my posts a lot on a fan club chat makes me feel guilty for not replying quickly?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Should I tell an adult if someone I met in an online game on a school group chat tells me my friends are fake and only they care about me?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How do I say no when someone I met in an online game on a video calling app says my parents are controlling and I should only trust them?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What should I do if a person from a local community group on an online study group says my parents are controlling and I should only trust them?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How do I explain to my parents that a stranger who says they are also a kid on a secret chat says my parents are controlling and I should only trust them?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How do I explain to my parents that a senior student at school on Telegram tells me my friends are fake and only they care about me?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Why do I feel uncomfortable when a stranger who says they are also a kid on Facebook Messenger tells me my friends are fake and only they care about me?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How do I explain to my parents that someone who says they know my school on a fan club chat says my parents are controlling and I should only trust them?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Is it okay to keep chatting when a stranger from a video app on a voice chat makes me feel guilty for not replying quickly?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Is it okay to keep chatting when a stranger who messaged me after seeing my profile on Telegram makes me feel guilty for not replying quickly?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Who should I talk to if someone I met during an online quiz on Snapchat gets upset when I spend time with my family instead of chatting?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How do I say no when someone from a homework help group on a gaming app gets upset when I spend time with my family instead of chatting?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Who should I talk to if a person from my sports practice on Snapchat says my parents are controlling and I should only trust them?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,What are safe steps if a person who comments on my posts a lot on a new app they asked me to install says age does not matter in a close friendship?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Who should I talk to if a person who comments on my posts a lot on a secret chat pretends to be my age but their messages sound like an adult?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,How do I explain to my parents that a person from my tuition class on YouTube comments will not tell me their real age but asks personal questions?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
ONLINE_STRANGERS_GROOMING_RISK,Is this grooming if a person from my tuition class on a school group chat keeps asking if I like talking to older people?,TECHNOLOGY,GROOMING,"[""GROOMING""]"
