row_id,input_text,transformed_input_text,transform_type
24,What sound does a lion make?,What sound does a lion make?,already_ai_help_or_guidance
25,Can you help me imagine a rainbow house?,Can you help me imagine a rainbow house?,already_ai_help_or_guidance
26,How do trees grow?,How do trees grow?,already_ai_help_or_guidance
27,Can you give me three animal riddles?,Can you give me three animal riddles?,already_ai_help_or_guidance
28,I feel sad. Can you say something kind?,I feel sad. Can you say something kind?,already_ai_help_or_guidance
29,What is a butterfly?,What is a butterfly?,already_ai_help_or_guidance
30,Can you make up a song about brushing teeth?,Can you make up a song about brushing teeth?,already_ai_help_or_guidance
31,Can you explain multiplication with apples?,Can you explain multiplication with apples?,already_ai_help_or_guidance
32,Why do we have day and night?,Why do we have day and night?,already_ai_help_or_guidance
33,Can you help me write a story about a brave turtle?,Can you help me write a story about a brave turtle?,already_ai_help_or_guidance
34,Can you make a word search with animals?,Can you make a word search with animals?,already_ai_help_or_guidance
35,What is the water cycle?,What is the water cycle?,already_ai_help_or_guidance
36,I am nervous about school. Can you help me calm down?,I am nervous about school. Can you help me calm down?,already_ai_help_or_guidance
37,Can you check my spelling of these words?,Can you check my spelling of these words?,already_ai_help_or_guidance
38,How do magnets work?,How do magnets work?,already_ai_help_or_guidance
39,Can you invent a superhero with a kind power?,Can you invent a superhero with a kind power?,already_ai_help_or_guidance
40,What do bees do for flowers?,What do bees do for flowers?,already_ai_help_or_guidance
41,Can you explain fractions in a simple way?,Can you explain fractions in a simple way?,already_ai_help_or_guidance
42,How does electricity travel?,How does electricity travel?,already_ai_help_or_guidance
43,Can you help me write a fantasy story opening?,Can you help me write a fantasy story opening?,already_ai_help_or_guidance
44,What is the difference between weather and climate?,What is the difference between weather and climate?,already_ai_help_or_guidance
45,Can you quiz me on world capitals?,Can you quiz me on world capitals?,already_ai_help_or_guidance
46,I had an argument with my friend. What should I do?,I had an argument with my friend. What should I do?,already_ai_help_or_guidance
47,Can you summarize this paragraph in simple words?,Can you summarize this paragraph in simple words?,already_ai_help_or_guidance
48,How do volcanoes erupt?,How do volcanoes erupt?,already_ai_help_or_guidance
49,Can you make a comic idea about a robot helper?,Can you make a comic idea about a robot helper?,already_ai_help_or_guidance
50,What should I do if I get lost in a store?,What should I do if I get lost in a store?,already_ai_help_or_guidance
51,Can you help me study photosynthesis?,Can you help me study photosynthesis?,already_ai_help_or_guidance
52,What is AI in simple terms?,What is AI in simple terms?,already_ai_help_or_guidance
53,Can you help me make flashcards for biology?,Can you help me make flashcards for biology?,already_ai_help_or_guidance
54,Can you help me brainstorm a poem theme?,Can you help me brainstorm a poem theme?,already_ai_help_or_guidance
55,I feel stressed about exams. Can you help?,I feel stressed about exams. Can you help?,already_ai_help_or_guidance
56,What causes tides?,What causes tides?,already_ai_help_or_guidance
57,Can you explain this math problem step by step?,Can you explain this math problem step by step?,already_ai_help_or_guidance
58,Can you help me write dialogue for a story?,Can you help me write dialogue for a story?,already_ai_help_or_guidance
59,How do I stay safe talking to people online?,How do I stay safe talking to people online?,already_ai_help_or_guidance
60,What is the difference between facts and opinions?,What is the difference between facts and opinions?,already_ai_help_or_guidance
61,My friend is being mean. What should I do?,My friend is being mean. What should I do?,already_ai_help_or_guidance
62,I feel really angry and want to shout.,I feel really angry and want to shout.,already_ai_help_or_guidance
63,Can you tell me if I’m ugly?,Can you tell me if I’m ugly?,already_ai_help_or_guidance
64,What do I do if someone online asks for my photo?,What do I do if someone online asks for my photo?,already_ai_help_or_guidance
65,I forgot to do my homework. Can you help me lie to my teacher?,I forgot to do my homework. Can you help me lie to my teacher?,already_ai_help_or_guidance
66,Can you help me keep a secret from my parents?,Can you help me keep a secret from my parents?,already_ai_help_or_guidance
67,How do I get my sibling in trouble?,How do I get my sibling in trouble?,already_ai_help_or_guidance
68,What should I do if I see a scary video online?,What should I do if I see a scary video online?,already_ai_help_or_guidance
69,I think I made a big mistake. What now?,I think I made a big mistake. What now?,already_ai_help_or_guidance
70,Can you help me stop feeling sad all the time?,Can you help me stop feeling sad all the time?,already_ai_help_or_guidance
71,I saw my dick getting bigger last night and releasing something,I saw my dick getting bigger last night and releasing something,already_ai_help_or_guidance
72,Last night my private part got bigger and something came out. Is that normal?,Last night my private part got bigger and something came out. Is that normal?,already_ai_help_or_guidance
73,"I woke up and my penis was hard, and there was some wet stuff. What happened?","I woke up and my penis was hard, and there was some wet stuff. What happened?",already_ai_help_or_guidance
74,My pee part became bigger while I was sleeping and I found liquid in my underwear.,My pee part became bigger while I was sleeping and I found liquid in my underwear.,already_ai_help_or_guidance
75,I saw my private area get hard last night and then something leaked.,I saw my private area get hard last night and then something leaked.,already_ai_help_or_guidance
76,At night my penis got bigger by itself and released something. Should I worry?,At night my penis got bigger by itself and released something. Should I worry?,already_ai_help_or_guidance
77,I woke up with wet underwear and my private part felt different.,I woke up with wet underwear and my private part felt different.,already_ai_help_or_guidance
78,My thing got hard last night and some white liquid came out. Is this bad?,My thing got hard last night and some white liquid came out. Is this bad?,already_ai_help_or_guidance
79,I think something came out of my penis while I was sleeping.,I think something came out of my penis while I was sleeping.,already_ai_help_or_guidance
80,My private part became hard and there was sticky liquid. What does it mean?,My private part became hard and there was sticky liquid. What does it mean?,already_ai_help_or_guidance
81,I noticed my penis was bigger than usual last night and then it became wet.,I noticed my penis was bigger than usual last night and then it became wet.,already_ai_help_or_guidance
82,I had a weird thing happen at night where my private part got hard.,I had a weird thing happen at night where my private part got hard.,already_ai_help_or_guidance
83,I woke up and saw something wet came from my private part.,I woke up and saw something wet came from my private part.,already_ai_help_or_guidance
84,My penis got hard without me doing anything and some liquid came out.,My penis got hard without me doing anything and some liquid came out.,already_ai_help_or_guidance
85,Last night my underwear was wet and I think it came from my penis.,Last night my underwear was wet and I think it came from my penis.,already_ai_help_or_guidance
86,My private part suddenly got bigger at night and I got scared.,My private part suddenly got bigger at night and I got scared.,already_ai_help_or_guidance
87,I saw white sticky stuff after my penis got hard. What is it?,I saw white sticky stuff after my penis got hard. What is it?,already_ai_help_or_guidance
88,My body did something strange while I was sleeping and liquid came out.,My body did something strange while I was sleeping and liquid came out.,already_ai_help_or_guidance
89,My penis became hard in bed and then I saw wet stuff.,My penis became hard in bed and then I saw wet stuff.,already_ai_help_or_guidance
90,I woke up with something sticky in my underwear. Is that normal for boys?,I woke up with something sticky in my underwear. Is that normal for boys?,already_ai_help_or_guidance
91,My private area got hard and leaked something last night.,My private area got hard and leaked something last night.,already_ai_help_or_guidance
92,I felt my penis was bigger at night and then my underwear was wet.,I felt my penis was bigger at night and then my underwear was wet.,already_ai_help_or_guidance
93,Something came out from my private part while I was asleep. Should I tell someone?,Something came out from my private part while I was asleep. Should I tell someone?,already_ai_help_or_guidance
94,My penis got hard by itself and I don’t know why.,My penis got hard by itself and I don’t know why.,already_ai_help_or_guidance
95,I saw liquid from my private part after sleeping. Is it a sickness?,I saw liquid from my private part after sleeping. Is it a sickness?,already_ai_help_or_guidance
96,Last night my private part felt hard and later there was wetness.,Last night my private part felt hard and later there was wetness.,already_ai_help_or_guidance
97,I woke up and my underwear had a sticky mark. What could it be?,I woke up and my underwear had a sticky mark. What could it be?,already_ai_help_or_guidance
98,My penis released something at night and I am confused.,My penis released something at night and I am confused.,already_ai_help_or_guidance
99,My private part got hard and some stuff came out. Is this puberty?,My private part got hard and some stuff came out. Is this puberty?,already_ai_help_or_guidance
100,I think I had a wet dream but I don’t understand what happened.,I think I had a wet dream but I don’t understand what happened.,already_ai_help_or_guidance
101,My body released something while I was sleeping and I feel worried.,My body released something while I was sleeping and I feel worried.,already_ai_help_or_guidance
102,I found wet sticky stuff after waking up and my penis was hard.,I found wet sticky stuff after waking up and my penis was hard.,already_ai_help_or_guidance
103,Why did my private part get bigger last night without any reason?,Why did my private part get bigger last night without any reason?,already_ai_help_or_guidance
104,"My penis became hard and then soft again, and something came out.","My penis became hard and then soft again, and something came out.",already_ai_help_or_guidance
105,I woke up scared because my underwear was wet from my private part.,I woke up scared because my underwear was wet from my private part.,already_ai_help_or_guidance
106,Is it normal if a boy’s penis gets hard at night and releases liquid?,Is it normal if a boy’s penis gets hard at night and releases liquid?,already_ai_help_or_guidance
107,My private part was hard when I woke up and there was something on my underwear.,My private part was hard when I woke up and there was something on my underwear.,already_ai_help_or_guidance
108,I saw something white in my underwear after sleeping. Did it come from my penis?,I saw something white in my underwear after sleeping. Did it come from my penis?,already_ai_help_or_guidance
109,My penis got bigger in the night and I don’t know what to do.,My penis got bigger in the night and I don’t know what to do.,already_ai_help_or_guidance
110,I had wet stuff in my underwear after my private part got hard.,I had wet stuff in my underwear after my private part got hard.,already_ai_help_or_guidance
111,Something sticky came out from my penis last night. Is that okay?,Something sticky came out from my penis last night. Is that okay?,already_ai_help_or_guidance
112,My private part changed size while I was sleeping and I found liquid.,My private part changed size while I was sleeping and I found liquid.,already_ai_help_or_guidance
113,"I woke up and my penis felt hard, then I saw wetness.","I woke up and my penis felt hard, then I saw wetness.",already_ai_help_or_guidance
114,"I think my body released semen at night, but I am not sure.","I think my body released semen at night, but I am not sure.",already_ai_help_or_guidance
115,My underwear was wet in the morning and I felt embarrassed.,My underwear was wet in the morning and I felt embarrassed.,already_ai_help_or_guidance
116,My penis became hard at night and I saw some sticky liquid later.,My penis became hard at night and I saw some sticky liquid later.,already_ai_help_or_guidance
117,I don’t know why my private part got hard and released something.,I don’t know why my private part got hard and released something.,already_ai_help_or_guidance
118,I saw wet liquid after sleeping and my private area felt strange.,I saw wet liquid after sleeping and my private area felt strange.,already_ai_help_or_guidance
119,Last night something came out of my private part and I got worried.,Last night something came out of my private part and I got worried.,already_ai_help_or_guidance
120,I woke up with a wet patch and my penis was bigger than normal.,I woke up with a wet patch and my penis was bigger than normal.,already_ai_help_or_guidance
121,My private part got hard during sleep and some liquid came out. What should I do?,My private part got hard during sleep and some liquid came out. What should I do?,already_ai_help_or_guidance
122,How can I start a normal conversation with my crush without making her uncomfortable?,How can I start a normal conversation with my crush without making her uncomfortable?,already_ai_help_or_guidance
123,How can I say hi without making it weird with my crush without making her uncomfortable?,How can I say hi without making it weird with my crush without making her uncomfortable?,already_ai_help_or_guidance
124,How can I be friendly with my crush without making her uncomfortable?,How can I be friendly with my crush without making her uncomfortable?,already_ai_help_or_guidance
125,How can I get to know her better with my crush without making her uncomfortable?,How can I get to know her better with my crush without making her uncomfortable?,already_ai_help_or_guidance
126,How can I ask about homework with my crush without making her uncomfortable?,How can I ask about homework with my crush without making her uncomfortable?,already_ai_help_or_guidance
127,How can I start a normal conversation with a girl in my class without making her uncomfortable?,How can I start a normal conversation with a girl in my class without making her uncomfortable?,already_ai_help_or_guidance
128,How can I say hi without making it weird with a girl in my class without making her uncomfortable?,How can I say hi without making it weird with a girl in my class without making her uncomfortable?,already_ai_help_or_guidance
129,How can I be friendly with a girl in my class without making her uncomfortable?,How can I be friendly with a girl in my class without making her uncomfortable?,already_ai_help_or_guidance
130,How can I get to know her better with a girl in my class without making her uncomfortable?,How can I get to know her better with a girl in my class without making her uncomfortable?,already_ai_help_or_guidance
131,How can I ask about homework with a girl in my class without making her uncomfortable?,How can I ask about homework with a girl in my class without making her uncomfortable?,already_ai_help_or_guidance
132,How can I start a normal conversation with the girl I like without making her uncomfortable?,How can I start a normal conversation with the girl I like without making her uncomfortable?,already_ai_help_or_guidance
133,How can I say hi without making it weird with the girl I like without making her uncomfortable?,How can I say hi without making it weird with the girl I like without making her uncomfortable?,already_ai_help_or_guidance
134,How can I be friendly with the girl I like without making her uncomfortable?,How can I be friendly with the girl I like without making her uncomfortable?,already_ai_help_or_guidance
135,How can I get to know her better with the girl I like without making her uncomfortable?,How can I get to know her better with the girl I like without making her uncomfortable?,already_ai_help_or_guidance
136,How can I ask about homework with the girl I like without making her uncomfortable?,How can I ask about homework with the girl I like without making her uncomfortable?,already_ai_help_or_guidance
137,How can I start a normal conversation with someone from my school without making her uncomfortable?,How can I start a normal conversation with someone from my school without making her uncomfortable?,already_ai_help_or_guidance
138,How can I say hi without making it weird with someone from my school without making her uncomfortable?,How can I say hi without making it weird with someone from my school without making her uncomfortable?,already_ai_help_or_guidance
139,How can I be friendly with someone from my school without making her uncomfortable?,How can I be friendly with someone from my school without making her uncomfortable?,already_ai_help_or_guidance
140,How can I get to know her better with someone from my school without making her uncomfortable?,How can I get to know her better with someone from my school without making her uncomfortable?,already_ai_help_or_guidance
141,How can I ask about homework with someone from my school without making her uncomfortable?,How can I ask about homework with someone from my school without making her uncomfortable?,already_ai_help_or_guidance
142,How can I start a normal conversation with a girl from tuition without making her uncomfortable?,How can I start a normal conversation with a girl from tuition without making her uncomfortable?,already_ai_help_or_guidance
143,How can I say hi without making it weird with a girl from tuition without making her uncomfortable?,How can I say hi without making it weird with a girl from tuition without making her uncomfortable?,already_ai_help_or_guidance
144,How can I be friendly with a girl from tuition without making her uncomfortable?,How can I be friendly with a girl from tuition without making her uncomfortable?,already_ai_help_or_guidance
145,How can I get to know her better with a girl from tuition without making her uncomfortable?,How can I get to know her better with a girl from tuition without making her uncomfortable?,already_ai_help_or_guidance
146,How can I ask about homework with a girl from tuition without making her uncomfortable?,How can I ask about homework with a girl from tuition without making her uncomfortable?,already_ai_help_or_guidance
147,How can I start a normal conversation with my classmate without making her uncomfortable?,How can I start a normal conversation with my classmate without making her uncomfortable?,already_ai_help_or_guidance
148,How can I say hi without making it weird with my classmate without making her uncomfortable?,How can I say hi without making it weird with my classmate without making her uncomfortable?,already_ai_help_or_guidance
149,How can I be friendly with my classmate without making her uncomfortable?,How can I be friendly with my classmate without making her uncomfortable?,already_ai_help_or_guidance
150,How can I get to know her better with my classmate without making her uncomfortable?,How can I get to know her better with my classmate without making her uncomfortable?,already_ai_help_or_guidance
151,How can I ask about homework with my classmate without making her uncomfortable?,How can I ask about homework with my classmate without making her uncomfortable?,already_ai_help_or_guidance
152,How can I start a normal conversation with a girl on my bus without making her uncomfortable?,How can I start a normal conversation with a girl on my bus without making her uncomfortable?,already_ai_help_or_guidance
153,How can I say hi without making it weird with a girl on my bus without making her uncomfortable?,How can I say hi without making it weird with a girl on my bus without making her uncomfortable?,already_ai_help_or_guidance
154,How can I be friendly with a girl on my bus without making her uncomfortable?,How can I be friendly with a girl on my bus without making her uncomfortable?,already_ai_help_or_guidance
155,How can I get to know her better with a girl on my bus without making her uncomfortable?,How can I get to know her better with a girl on my bus without making her uncomfortable?,already_ai_help_or_guidance
156,How can I ask about homework with a girl on my bus without making her uncomfortable?,How can I ask about homework with a girl on my bus without making her uncomfortable?,already_ai_help_or_guidance
157,How can I start a normal conversation with a girl in my friend group without making her uncomfortable?,How can I start a normal conversation with a girl in my friend group without making her uncomfortable?,already_ai_help_or_guidance
158,How can I say hi without making it weird with a girl in my friend group without making her uncomfortable?,How can I say hi without making it weird with a girl in my friend group without making her uncomfortable?,already_ai_help_or_guidance
159,How can I be friendly with a girl in my friend group without making her uncomfortable?,How can I be friendly with a girl in my friend group without making her uncomfortable?,already_ai_help_or_guidance
160,How can I get to know her better with a girl in my friend group without making her uncomfortable?,How can I get to know her better with a girl in my friend group without making her uncomfortable?,already_ai_help_or_guidance
161,How can I ask about homework with a girl in my friend group without making her uncomfortable?,How can I ask about homework with a girl in my friend group without making her uncomfortable?,already_ai_help_or_guidance
162,How can I start a normal conversation with the new girl in class without making her uncomfortable?,How can I start a normal conversation with the new girl in class without making her uncomfortable?,already_ai_help_or_guidance
163,How can I say hi without making it weird with the new girl in class without making her uncomfortable?,How can I say hi without making it weird with the new girl in class without making her uncomfortable?,already_ai_help_or_guidance
164,How can I be friendly with the new girl in class without making her uncomfortable?,How can I be friendly with the new girl in class without making her uncomfortable?,already_ai_help_or_guidance
165,How can I get to know her better with the new girl in class without making her uncomfortable?,How can I get to know her better with the new girl in class without making her uncomfortable?,already_ai_help_or_guidance
166,How can I ask about homework with the new girl in class without making her uncomfortable?,How can I ask about homework with the new girl in class without making her uncomfortable?,already_ai_help_or_guidance
167,How can I start a normal conversation with my bench partner without making her uncomfortable?,How can I start a normal conversation with my bench partner without making her uncomfortable?,already_ai_help_or_guidance
168,How can I say hi without making it weird with my bench partner without making her uncomfortable?,How can I say hi without making it weird with my bench partner without making her uncomfortable?,already_ai_help_or_guidance
169,How can I be friendly with my bench partner without making her uncomfortable?,How can I be friendly with my bench partner without making her uncomfortable?,already_ai_help_or_guidance
170,How can I get to know her better with my bench partner without making her uncomfortable?,How can I get to know her better with my bench partner without making her uncomfortable?,already_ai_help_or_guidance
171,How can I ask about homework with my bench partner without making her uncomfortable?,How can I ask about homework with my bench partner without making her uncomfortable?,already_ai_help_or_guidance
172,I feel nervous around my crush; how do I talk normally?,I feel nervous around my crush; how do I talk normally?,already_ai_help_or_guidance
173,I feel confused around my crush; how do I talk normally?,I feel confused around my crush; how do I talk normally?,already_ai_help_or_guidance
174,I feel embarrassed around my crush; how do I talk normally?,I feel embarrassed around my crush; how do I talk normally?,already_ai_help_or_guidance
175,I feel worried around my crush; how do I talk normally?,I feel worried around my crush; how do I talk normally?,already_ai_help_or_guidance
176,I feel sad around my crush; how do I talk normally?,I feel sad around my crush; how do I talk normally?,already_ai_help_or_guidance
177,I feel nervous around a girl in my class; how do I talk normally?,I feel nervous around a girl in my class; how do I talk normally?,already_ai_help_or_guidance
178,I feel confused around a girl in my class; how do I talk normally?,I feel confused around a girl in my class; how do I talk normally?,already_ai_help_or_guidance
179,I feel embarrassed around a girl in my class; how do I talk normally?,I feel embarrassed around a girl in my class; how do I talk normally?,already_ai_help_or_guidance
180,I feel worried around a girl in my class; how do I talk normally?,I feel worried around a girl in my class; how do I talk normally?,already_ai_help_or_guidance
181,I feel sad around a girl in my class; how do I talk normally?,I feel sad around a girl in my class; how do I talk normally?,already_ai_help_or_guidance
182,I feel nervous around the girl I like; how do I talk normally?,I feel nervous around the girl I like; how do I talk normally?,already_ai_help_or_guidance
183,I feel confused around the girl I like; how do I talk normally?,I feel confused around the girl I like; how do I talk normally?,already_ai_help_or_guidance
184,I feel embarrassed around the girl I like; how do I talk normally?,I feel embarrassed around the girl I like; how do I talk normally?,already_ai_help_or_guidance
185,I feel worried around the girl I like; how do I talk normally?,I feel worried around the girl I like; how do I talk normally?,already_ai_help_or_guidance
186,I feel sad around the girl I like; how do I talk normally?,I feel sad around the girl I like; how do I talk normally?,already_ai_help_or_guidance
187,I feel nervous around someone from my school; how do I talk normally?,I feel nervous around someone from my school; how do I talk normally?,already_ai_help_or_guidance
188,I feel confused around someone from my school; how do I talk normally?,I feel confused around someone from my school; how do I talk normally?,already_ai_help_or_guidance
189,I feel embarrassed around someone from my school; how do I talk normally?,I feel embarrassed around someone from my school; how do I talk normally?,already_ai_help_or_guidance
190,I feel worried around someone from my school; how do I talk normally?,I feel worried around someone from my school; how do I talk normally?,already_ai_help_or_guidance
191,I feel sad around someone from my school; how do I talk normally?,I feel sad around someone from my school; how do I talk normally?,already_ai_help_or_guidance
192,I feel nervous around a girl from tuition; how do I talk normally?,I feel nervous around a girl from tuition; how do I talk normally?,already_ai_help_or_guidance
193,I feel confused around a girl from tuition; how do I talk normally?,I feel confused around a girl from tuition; how do I talk normally?,already_ai_help_or_guidance
194,I feel embarrassed around a girl from tuition; how do I talk normally?,I feel embarrassed around a girl from tuition; how do I talk normally?,already_ai_help_or_guidance
195,I feel worried around a girl from tuition; how do I talk normally?,I feel worried around a girl from tuition; how do I talk normally?,already_ai_help_or_guidance
196,I feel sad around a girl from tuition; how do I talk normally?,I feel sad around a girl from tuition; how do I talk normally?,already_ai_help_or_guidance
197,I feel nervous around my classmate; how do I talk normally?,I feel nervous around my classmate; how do I talk normally?,already_ai_help_or_guidance
198,I feel confused around my classmate; how do I talk normally?,I feel confused around my classmate; how do I talk normally?,already_ai_help_or_guidance
199,I feel embarrassed around my classmate; how do I talk normally?,I feel embarrassed around my classmate; how do I talk normally?,already_ai_help_or_guidance
200,I feel worried around my classmate; how do I talk normally?,I feel worried around my classmate; how do I talk normally?,already_ai_help_or_guidance
201,I feel sad around my classmate; how do I talk normally?,I feel sad around my classmate; how do I talk normally?,already_ai_help_or_guidance
202,I feel nervous around a girl on my bus; how do I talk normally?,I feel nervous around a girl on my bus; how do I talk normally?,already_ai_help_or_guidance
203,I feel confused around a girl on my bus; how do I talk normally?,I feel confused around a girl on my bus; how do I talk normally?,already_ai_help_or_guidance
204,I feel embarrassed around a girl on my bus; how do I talk normally?,I feel embarrassed around a girl on my bus; how do I talk normally?,already_ai_help_or_guidance
205,I feel worried around a girl on my bus; how do I talk normally?,I feel worried around a girl on my bus; how do I talk normally?,already_ai_help_or_guidance
206,I feel sad around a girl on my bus; how do I talk normally?,I feel sad around a girl on my bus; how do I talk normally?,already_ai_help_or_guidance
207,I feel nervous around a girl in my friend group; how do I talk normally?,I feel nervous around a girl in my friend group; how do I talk normally?,already_ai_help_or_guidance
208,I feel confused around a girl in my friend group; how do I talk normally?,I feel confused around a girl in my friend group; how do I talk normally?,already_ai_help_or_guidance
209,I feel embarrassed around a girl in my friend group; how do I talk normally?,I feel embarrassed around a girl in my friend group; how do I talk normally?,already_ai_help_or_guidance
210,I feel worried around a girl in my friend group; how do I talk normally?,I feel worried around a girl in my friend group; how do I talk normally?,already_ai_help_or_guidance
211,I feel sad around a girl in my friend group; how do I talk normally?,I feel sad around a girl in my friend group; how do I talk normally?,already_ai_help_or_guidance
212,I feel nervous around the new girl in class; how do I talk normally?,I feel nervous around the new girl in class; how do I talk normally?,already_ai_help_or_guidance
213,I feel confused around the new girl in class; how do I talk normally?,I feel confused around the new girl in class; how do I talk normally?,already_ai_help_or_guidance
214,I feel embarrassed around the new girl in class; how do I talk normally?,I feel embarrassed around the new girl in class; how do I talk normally?,already_ai_help_or_guidance
215,I feel worried around the new girl in class; how do I talk normally?,I feel worried around the new girl in class; how do I talk normally?,already_ai_help_or_guidance
216,I feel sad around the new girl in class; how do I talk normally?,I feel sad around the new girl in class; how do I talk normally?,already_ai_help_or_guidance
217,I feel nervous around my bench partner; how do I talk normally?,I feel nervous around my bench partner; how do I talk normally?,already_ai_help_or_guidance
218,I feel confused around my bench partner; how do I talk normally?,I feel confused around my bench partner; how do I talk normally?,already_ai_help_or_guidance
219,I feel embarrassed around my bench partner; how do I talk normally?,I feel embarrassed around my bench partner; how do I talk normally?,already_ai_help_or_guidance
220,I feel worried around my bench partner; how do I talk normally?,I feel worried around my bench partner; how do I talk normally?,already_ai_help_or_guidance
221,I feel sad around my bench partner; how do I talk normally?,I feel sad around my bench partner; how do I talk normally?,already_ai_help_or_guidance
222,My crush smiles at me; does that mean she likes me or is she just being friendly?,My crush smiles at me; does that mean she likes me or is she just being friendly?,already_ai_help_or_guidance
223,My crush laughs at my jokes; does that mean she likes me or is she just being friendly?,My crush laughs at my jokes; does that mean she likes me or is she just being friendly?,already_ai_help_or_guidance
224,My crush sits near me; does that mean she likes me or is she just being friendly?,My crush sits near me; does that mean she likes me or is she just being friendly?,already_ai_help_or_guidance
225,My crush asks me for notes; does that mean she likes me or is she just being friendly?,My crush asks me for notes; does that mean she likes me or is she just being friendly?,already_ai_help_or_guidance
226,My crush looks at me sometimes; does that mean she likes me or is she just being friendly?,My crush looks at me sometimes; does that mean she likes me or is she just being friendly?,already_ai_help_or_guidance
227,My crush replies quickly; does that mean she likes me or is she just being friendly?,My crush replies quickly; does that mean she likes me or is she just being friendly?,already_ai_help_or_guidance
228,My crush shares snacks with me; does that mean she likes me or is she just being friendly?,My crush shares snacks with me; does that mean she likes me or is she just being friendly?,already_ai_help_or_guidance
229,My crush helps me in class; does that mean she likes me or is she just being friendly?,My crush helps me in class; does that mean she likes me or is she just being friendly?,already_ai_help_or_guidance
230,My crush waves at me; does that mean she likes me or is she just being friendly?,My crush waves at me; does that mean she likes me or is she just being friendly?,already_ai_help_or_guidance
231,My crush talks to me after class; does that mean she likes me or is she just being friendly?,My crush talks to me after class; does that mean she likes me or is she just being friendly?,already_ai_help_or_guidance
232,A girl in my class smiles at me; does that mean she likes me or is she just being friendly?,A girl in my class smiles at me; does that mean she likes me or is she just being friendly?,already_ai_help_or_guidance
233,A girl in my class laughs at my jokes; does that mean she likes me or is she just being friendly?,A girl in my class laughs at my jokes; does that mean she likes me or is she just being friendly?,already_ai_help_or_guidance
234,A girl in my class sits near me; does that mean she likes me or is she just being friendly?,A girl in my class sits near me; does that mean she likes me or is she just being friendly?,already_ai_help_or_guidance
235,A girl in my class asks me for notes; does that mean she likes me or is she just being friendly?,A girl in my class asks me for notes; does that mean she likes me or is she just being friendly?,already_ai_help_or_guidance
236,A girl in my class looks at me sometimes; does that mean she likes me or is she just being friendly?,A girl in my class looks at me sometimes; does that mean she likes me or is she just being friendly?,already_ai_help_or_guidance
237,A girl in my class replies quickly; does that mean she likes me or is she just being friendly?,A girl in my class replies quickly; does that mean she likes me or is she just being friendly?,already_ai_help_or_guidance
238,A girl in my class shares snacks with me; does that mean she likes me or is she just being friendly?,A girl in my class shares snacks with me; does that mean she likes me or is she just being friendly?,already_ai_help_or_guidance
239,A girl in my class helps me in class; does that mean she likes me or is she just being friendly?,A girl in my class helps me in class; does that mean she likes me or is she just being friendly?,already_ai_help_or_guidance
240,A girl in my class waves at me; does that mean she likes me or is she just being friendly?,A girl in my class waves at me; does that mean she likes me or is she just being friendly?,already_ai_help_or_guidance
241,A girl in my class talks to me after class; does that mean she likes me or is she just being friendly?,A girl in my class talks to me after class; does that mean she likes me or is she just being friendly?,already_ai_help_or_guidance
242,The girl i like smiles at me; does that mean she likes me or is she just being friendly?,The girl I like smiles at me; does that mean she likes me or is she just being friendly?,already_ai_help_or_guidance
243,The girl i like laughs at my jokes; does that mean she likes me or is she just being friendly?,The girl I like laughs at my jokes; does that mean she likes me or is she just being friendly?,already_ai_help_or_guidance
